Linux 2.6.32-279.14.1.el6.x86_64 (compute-431-3.local) 	04/19/20 	_x86_64_	(24 CPU)

11:22:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:22:51     all   43.71    0.00   13.55    0.21    0.00    0.02    0.00    0.00   42.51
11:22:51       0   64.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   28.00
11:22:51       1   62.81    0.00    6.53    0.00    0.00    0.00    0.00    0.00   30.65
11:22:51       2   61.00    0.00    7.50    0.00    0.00    0.00    0.00    0.00   31.50
11:22:51       3   60.50    0.00    7.00    0.00    0.00    0.00    0.00    0.00   32.50
11:22:51       4   54.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00   32.00
11:22:51       5   54.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00   32.00
11:22:51       6   43.00    0.00   25.50    0.00    0.00    0.00    0.00    0.00   31.50
11:22:51       7   53.23    0.00   19.40    0.00    0.00    0.00    0.00    0.00   27.36
11:22:51       8    0.00    0.00    0.00    1.50    0.00    0.00    0.00    0.00   98.50
11:22:51       9   25.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   73.00
11:22:51      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:51      11   24.88    0.00    1.99    0.00    0.00    0.00    0.00    0.00   73.13
11:22:51      12   63.50    0.00    7.00    0.50    0.00    0.50    0.00    0.00   28.50
11:22:51      13   60.30    0.00    9.55    0.00    0.00    0.00    0.00    0.00   30.15
11:22:51      14   56.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00   25.00
11:22:51      15   48.74    0.00   19.60    0.50    0.00    0.00    0.00    0.00   31.16
11:22:51      16   50.75    0.00   17.41    0.00    0.00    0.00    0.00    0.00   31.84
11:22:51      17   56.28    0.00   17.09    0.50    0.00    0.00    0.00    0.00   26.13
11:22:51      18   50.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00   32.00
11:22:51      19   52.26    0.00   18.09    0.50    0.00    0.00    0.00    0.00   29.15
11:22:51      20   26.63    0.00    1.51    0.00    0.00    0.00    0.00    0.00   71.86
11:22:51      21   28.00    0.00   45.50    0.50    0.00    0.00    0.00    0.00   26.00
11:22:51      22   25.63    0.00    1.01    0.00    0.00    0.00    0.00    0.00   73.37
11:22:51      23   28.50    0.00   45.00    0.50    0.00    0.00    0.00    0.00   26.00

11:22:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:22:53     all   59.42    0.00   17.69    0.00    0.00    0.02    0.00    0.00   22.86
11:22:53       0   79.90    0.00   18.09    0.00    0.00    0.00    0.00    0.00    2.01
11:22:53       1   78.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    2.00
11:22:53       2   57.29    0.00   20.60    0.00    0.00    0.00    0.00    0.00   22.11
11:22:53       3   57.21    0.00   20.90    0.00    0.00    0.00    0.00    0.00   21.89
11:22:53       4   88.50    0.00   11.50    0.00    0.00    0.00    0.00    0.00    0.00
11:22:53       5   91.50    0.00    8.50    0.00    0.00    0.00    0.00    0.00    0.00
11:22:53       6   80.50    0.00   16.50    0.00    0.00    0.00    0.00    0.00    3.00
11:22:53       7   82.41    0.00   15.08    0.00    0.00    0.00    0.00    0.00    2.51
11:22:53       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:53       9   32.16    0.00    1.51    0.00    0.00    0.00    0.00    0.00   66.33
11:22:53      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:22:53      11   31.16    0.00    1.51    0.00    0.00    0.00    0.00    0.00   67.34
11:22:53      12   80.90    0.00   17.09    0.00    0.00    0.00    0.00    0.00    2.01
11:22:53      13   77.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00    0.00
11:22:53      14   55.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00   22.00
11:22:53      15   61.50    0.00   38.00    0.00    0.00    0.50    0.00    0.00    0.00
11:22:53      16   89.50    0.00   10.50    0.00    0.00    0.00    0.00    0.00    0.00
11:22:53      17   92.54    0.00    7.46    0.00    0.00    0.00    0.00    0.00    0.00
