Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-3.local) 	04/18/20 	_x86_64_	(32 CPU)

15:56:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:56:21     all   29.93    0.00    1.80    0.00    0.00    0.03    0.00    0.00   68.24
15:56:21       0   26.77    0.00    2.02    0.00    0.00    0.00    0.00    0.00   71.21
15:56:21       1   26.63    0.00    1.51    0.00    0.00    0.00    0.00    0.00   71.86
15:56:21       2   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21       3   26.00    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.50
15:56:21       4   26.37    0.00    1.49    0.00    0.00    0.00    0.00    0.00   72.14
15:56:21       5   26.13    0.00    1.51    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21       6   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21       7   26.13    0.00    1.51    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21       8   80.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   16.00
15:56:21       9   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      10   26.50    0.00    2.00    0.00    0.00    0.00    0.00    0.00   71.50
15:56:21      11   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      12   26.90    0.00    1.52    0.00    0.00    0.00    0.00    0.00   71.57
15:56:21      13   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      14   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      15   26.73    0.00    2.48    0.00    0.00    0.00    0.00    0.00   70.79
15:56:21      16   26.63    0.00    1.01    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21      17   82.50    0.00    6.00    0.00    0.00    0.50    0.00    0.00   11.00
15:56:21      18   27.14    0.00    1.01    0.00    0.00    0.00    0.00    0.00   71.86
15:56:21      19   26.87    0.00    1.00    0.00    0.00    0.00    0.00    0.00   72.14
15:56:21      20   26.26    0.00    1.52    0.00    0.00    0.51    0.00    0.00   71.72
15:56:21      21   26.13    0.00    1.51    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21      22   26.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      23   26.13    0.00    1.51    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21      24   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      25   27.00    0.00    1.50    0.00    0.00    0.00    0.00    0.00   71.50
15:56:21      26   27.00    0.00    2.00    0.00    0.00    0.50    0.00    0.00   70.50
15:56:21      27   26.13    0.00    1.51    0.00    0.00    0.00    0.00    0.00   72.36
15:56:21      28   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      29   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      30   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00
15:56:21      31   26.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00   72.00

15:56:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
15:56:23     all   28.66    0.00    0.16    0.00    0.00    0.03    0.00    0.00   71.15
15:56:23       0   24.24    0.00    1.01    0.00    0.00    0.00    0.00    0.00   74.75
15:56:23       1   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
15:56:23       2   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23       3   24.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.50
15:56:23       4   24.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.88
15:56:23       5   24.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.50
15:56:23       6   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23       7   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23       8   98.51    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00
15:56:23       9   23.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.12
15:56:23      10   23.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.50
15:56:23      11   23.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.12
15:56:23      12   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
15:56:23      13   23.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.50
15:56:23      14   23.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.50
15:56:23      15   23.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.38
15:56:23      16   24.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   75.50
15:56:23      17   98.50    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00
15:56:23      18   24.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.88
15:56:23      19   24.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.88
15:56:23      20   24.12    0.00    0.00    0.00    0.00    0.50    0.00    0.00   75.38
15:56:23      21   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23      22   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23      23   24.38    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.62
15:56:23      24   23.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.38
15:56:23      25   23.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.50
