Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/18/20 	_x86_64_	(32 CPU)

17:02:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:02:11     all   54.65    0.00    3.16    0.02    0.00    0.03    0.00    0.00   42.14
17:02:11       0   59.60    0.00    4.04    0.00    0.00    0.00    0.00    0.00   36.36
17:02:11       1   59.00    0.00    2.50    0.00    0.00    0.00    0.00    0.00   38.50
17:02:11       2   58.71    0.00    2.49    0.00    0.00    0.00    0.00    0.00   38.81
17:02:11       3   57.71    0.00    3.48    0.00    0.00    0.00    0.00    0.00   38.81
17:02:11       4   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11       5   58.00    0.00    3.50    0.00    0.00    0.00    0.00    0.00   38.50
17:02:11       6   57.71    0.00    2.99    0.00    0.00    0.00    0.00    0.00   39.30
17:02:11       7   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11       8   32.16    0.00    1.51    0.00    0.00    0.00    0.00    0.00   66.33
17:02:11       9   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      10   57.21    0.00    3.48    0.00    0.00    0.00    0.00    0.00   39.30
17:02:11      11   53.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   45.00
17:02:11      12   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      13   57.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   40.00
17:02:11      14   35.68    0.00    1.51    0.00    0.00    0.00    0.00    0.00   62.81
17:02:11      15   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      16   58.29    0.00    3.52    0.00    0.00    0.00    0.00    0.00   38.19
17:02:11      17   61.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   36.00
17:02:11      18   59.30    0.00    3.02    0.00    0.00    0.00    0.00    0.00   37.69
17:02:11      19   53.27    0.00   12.06    0.00    0.00    0.00    0.00    0.00   34.67
17:02:11      20   58.29    0.00    3.02    0.00    0.00    0.50    0.00    0.00   38.19
17:02:11      21   58.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      22   58.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      23   58.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      24   58.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      25   59.60    0.00    4.04    0.00    0.00    0.00    0.00    0.00   36.36
17:02:11      26   59.20    0.00    2.99    0.50    0.00    0.00    0.00    0.00   37.31
17:02:11      27   58.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      28   57.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   39.00
17:02:11      29   58.79    0.00    2.01    0.00    0.00    0.00    0.00    0.00   39.20
17:02:11      30   58.29    0.00    2.51    0.00    0.00    0.00    0.00    0.00   39.20
17:02:11      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

17:02:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:02:13     all   89.98    0.00    3.75    0.00    0.00    0.02    0.00    0.00    6.25
17:02:13       0   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       1   97.49    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       2   97.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       3   95.50    0.00    4.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       4   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       5   96.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       6   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       7   95.02    0.00    4.98    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13       8   74.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00   22.00
17:02:13       9   77.89    0.00    4.02    0.00    0.00    0.00    0.00    0.00   18.09
17:02:13      10   84.42    0.00    3.02    0.00    0.00    0.00    0.00    0.00   12.56
17:02:13      11   83.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   14.00
17:02:13      12   92.42    0.00    5.05    0.00    0.00    0.00    0.00    0.00    2.53
17:02:13      13   68.66    0.00    3.48    0.00    0.00    0.00    0.00    0.00   27.86
17:02:13      14   93.50    0.00    4.50    0.00    0.00    0.00    0.00    0.00    2.00
17:02:13      15   76.50    0.00    4.50    0.00    0.00    0.00    0.00    0.00   19.00
17:02:13      16   96.02    0.00    3.98    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      17   97.49    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      18   97.01    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      19   90.50    0.00    9.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      20   96.00    0.00    3.50    0.00    0.00    0.50    0.00    0.00    0.00
17:02:13      21   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      22   97.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      23   97.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      24   94.50    0.00    5.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      25   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      26   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      27   96.52    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      28   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      29   96.50    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      30   95.02    0.00    4.98    0.00    0.00    0.00    0.00    0.00    0.00
17:02:13      31   18.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   81.00

17:02:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
17:02:15     all   90.12    0.00    3.61    0.36    0.00    0.02    0.00    0.00    5.89
17:02:15       0   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       1   95.52    0.00    4.48    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       2   97.49    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       3   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       4   95.50    0.00    4.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       5   96.48    0.00    3.52    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       6   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       7   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15       8   97.00    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.50
17:02:15       9   95.02    0.00    4.98    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      10   87.56    0.00    4.48    0.00    0.00    0.00    0.00    0.00    7.96
17:02:15      11   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      12   94.53    0.00    5.47    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      13    8.59    0.00    0.00   11.11    0.00    0.00    0.00    0.00   80.30
17:02:15      14   96.00    0.00    3.50    0.00    0.00    0.00    0.00    0.00    0.50
17:02:15      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
17:02:15      16   95.98    0.00    4.02    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      17   97.01    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      18   97.50    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      19   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00
17:02:15      20   95.02    0.00    3.98    0.00    0.00    1.00    0.00    0.00    0.00
