Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/21/20 	_x86_64_	(32 CPU)

11:55:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:08     all   12.27    0.00    3.54    0.63    0.00    0.13    0.00    0.00   83.44
11:55:08       0   13.13    0.00    2.02    0.00    0.00    0.00    0.00    0.00   84.85
11:55:08       1   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
11:55:08       2   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88
11:55:08       3   12.87    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.13
11:55:08       4   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88
11:55:08       5   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
11:55:08       6   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:55:08       7   11.88    0.00    0.99    0.00    0.00    0.00    0.00    0.00   87.13
11:55:08       8   12.24    0.00    1.02    0.00    0.00    0.00    0.00    0.00   86.73
11:55:08       9   12.12    0.00    1.01    0.00    0.00    0.00    0.00    0.00   86.87
11:55:08      10   11.22    0.00    2.04    0.00    0.00    0.00    0.00    0.00   86.73
11:55:08      11   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
11:55:08      12   11.88    0.00    0.99    0.00    0.00    0.00    0.00    0.00   87.13
11:55:08      13   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
11:55:08      14   11.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.78
11:55:08      15   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:55:08      16   14.00    0.00   10.00    2.00    0.00    0.00    0.00    0.00   74.00
11:55:08      17   11.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   83.00
11:55:08      18   14.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   83.00
11:55:08      19   11.11    0.00   11.11    3.03    0.00    0.00    0.00    0.00   74.75
11:55:08      20   12.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:55:08      21   12.87    0.00   10.89    2.97    0.00    0.00    0.00    0.00   73.27
11:55:08      22   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88
11:55:08      23   12.87    0.00   10.89    2.97    0.00    0.00    0.00    0.00   73.27
11:55:08      24   16.33    0.00    8.16    1.02    0.00    1.02    0.00    0.00   73.47
11:55:08      25   12.87    0.00    4.95    0.00    0.00    0.00    0.00    0.00   82.18
11:55:08      26   11.11    0.00    2.02    0.00    0.00    1.01    0.00    0.00   85.86
11:55:08      27   12.00    0.00   11.00    2.00    0.00    1.00    0.00    0.00   74.00
11:55:08      28   12.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   87.00
11:55:08      29   12.00    0.00   11.00    3.00    0.00    0.00    0.00    0.00   74.00
11:55:08      30   12.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:55:08      31   13.13    0.00   11.11    2.02    0.00    0.00    0.00    0.00   73.74

11:55:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:09     all   92.75    0.00    6.88    0.00    0.00    0.38    0.00    0.00    0.00
11:55:09       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:09       1   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:09       2   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:09       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:09       4   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:09       5   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
