Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/21/20 	_x86_64_	(32 CPU)

11:55:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:16     all   32.94    0.00    5.95    0.00    0.00    0.19    0.00    0.00   60.93
11:55:16       0   35.35    0.00    3.03    0.00    0.00    0.00    0.00    0.00   61.62
11:55:16       1   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
11:55:16       2   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00   63.64
11:55:16       3   36.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   57.00
11:55:16       4   35.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16       5   34.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00   64.65
11:55:16       6   35.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16       7   34.65    0.00    1.98    0.00    0.00    0.00    0.00    0.00   63.37
11:55:16       8   35.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   61.00
11:55:16       9   34.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00   64.65
11:55:16      10   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00   63.64
11:55:16      11   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16      12   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16      13   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16      14   34.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   63.00
11:55:16      15   33.33    0.00    2.02    0.00    0.00    0.00    0.00    0.00   64.65
11:55:16      16   36.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00   55.00
11:55:16      17   28.28    0.00   11.11    0.00    0.00    0.00    0.00    0.00   60.61
11:55:16      18   34.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00   60.00
11:55:16      19   26.00    0.00   11.00    0.00    0.00    1.00    0.00    0.00   62.00
11:55:16      20   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
11:55:16      21   29.00    0.00   17.00    0.00    0.00    0.00    0.00    0.00   54.00
11:55:16      22   34.34    0.00    1.01    0.00    0.00    0.00    0.00    0.00   64.65
11:55:16      23   28.28    0.00   16.16    0.00    0.00    0.00    0.00    0.00   55.56
11:55:16      24   36.36    0.00    9.09    0.00    0.00    1.01    0.00    0.00   53.54
11:55:16      25   28.71    0.00   12.87    0.00    0.00    0.00    0.00    0.00   58.42
11:55:16      26   34.34    0.00    3.03    0.00    0.00    1.01    0.00    0.00   61.62
11:55:16      27   28.00    0.00   17.00    0.00    0.00    1.00    0.00    0.00   54.00
11:55:16      28   33.66    0.00    3.96    0.00    0.00    0.00    0.00    0.00   62.38
11:55:16      29   29.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00   55.00
11:55:16      30   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:16      31   29.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00   55.00

11:55:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:17     all   91.72    0.00    7.97    0.00    0.00    0.31    0.00    0.00    0.00
11:55:17       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       1   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       2   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       3   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       4   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       5   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       6   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       7   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       8   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17       9   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      10   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      11   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      12   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      13   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      14   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      15   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      16   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      17   71.57    0.00   26.47    0.00    0.00    1.96    0.00    0.00    0.00
11:55:17      18   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:17      19   75.00    0.00   24.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:17      20   96.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00
11:55:17      21   72.00    0.00   28.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      22   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      23   74.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      24   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00
11:55:17      25   75.00    0.00   23.00    0.00    0.00    2.00    0.00    0.00    0.00
11:55:17      26   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00
11:55:17      27   75.00    0.00   24.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:17      28   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      29   73.74    0.00   26.26    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      30   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:17      31   75.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00

11:55:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:18     all   91.00    0.00    8.69    0.00    0.00    0.31    0.00    0.00    0.00
11:55:18       0   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       1   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       2   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       3   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       4   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       5   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       7   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       8   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18       9   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      10   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      11   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      12   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      13   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      14   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      15   96.04    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      16   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      17   72.45    0.00   27.55    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      18   97.98    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00
11:55:18      19   71.00    0.00   28.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:18      20   97.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00
11:55:18      21   72.00    0.00   28.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      22   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      23   71.00    0.00   29.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      24   96.97    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00
11:55:18      25   71.00    0.00   27.00    0.00    0.00    2.00    0.00    0.00    0.00
11:55:18      26   96.04    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00
11:55:18      27   72.00    0.00   27.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:18      28   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      29   72.00    0.00   28.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      30   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:18      31   71.72    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00

11:55:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:19     all   92.28    0.00    7.38    0.00    0.00    0.34    0.00    0.00    0.00
11:55:19       0   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       1   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       2   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       4   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       5   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       7   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       8   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19       9   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      10   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      11   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      12   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      13   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      14   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      15   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      16   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
11:55:19      17   74.26    0.00   23.76    0.00    0.00    1.98    0.00    0.00    0.00
11:55:19      18   96.04    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00
11:55:19      19   76.00    0.00   23.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:19      20   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00
11:55:19      21   74.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00
