Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	04/21/20 	_x86_64_	(32 CPU)

11:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:55:48     all   34.34    0.00    4.72    0.00    0.00    0.00    0.00    0.00   60.93
11:55:48       0   33.67    0.00    4.08    0.00    0.00    0.00    0.00    0.00   62.24
11:55:48       1   33.66    0.00    2.97    0.00    0.00    0.00    0.00    0.00   63.37
11:55:48       2   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48       3   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48       4   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48       5   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48       6   32.32    0.00    3.03    0.00    0.00    0.00    0.00    0.00   64.65
11:55:48       7   33.66    0.00    2.97    0.00    0.00    0.00    0.00    0.00   63.37
11:55:48       8   34.65    0.00    4.95    0.00    0.00    0.00    0.00    0.00   60.40
11:55:48       9   32.67    0.00    3.96    0.00    0.00    0.00    0.00    0.00   63.37
11:55:48      10   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      11   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      12   32.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      13   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      14   33.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      15   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:55:48      16   36.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00   55.00
11:55:48      17   36.27    0.00    3.92    0.00    0.00    0.98    0.00    0.00   58.82
11:55:48      18   36.63    0.00    3.96    0.00    0.00    0.00    0.00    0.00   59.41
11:55:48      19   36.63    0.00    8.91    0.00    0.00    0.00    0.00    0.00   54.46
11:55:48      20   33.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   63.00
11:55:48      21   36.27    0.00    8.82    0.00    0.00    0.00    0.00    0.00   54.90
11:55:48      22   33.66    0.00    2.97    0.00    0.00    0.00    0.00    0.00   63.37
11:55:48      23   35.64    0.00    8.91    0.00    0.00    0.00    0.00    0.00   55.45
11:55:48      24   36.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00   54.00
11:55:48      25   37.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   58.00
11:55:48      26   32.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   63.00
11:55:48      27   36.63    0.00    8.91    0.00    0.00    0.00    0.00    0.00   54.46
