procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  11544 64249432 253504 658604    0    0     0     2    0    0 33  3 64  0  0	
32  0  11544 63385068 253504 732012    0    0     0     0 21909 8180 33  6 61  0  0	
33  0  11544 63369816 253504 732880    0    0     0     0 48298 8399 92  8  0  0  0	
33  0  11544 63352844 253504 733244    0    0     0     0 49843 8441 91  9  0  0  0	
32  0  11544 63341196 253504 733432    0    0     0    20 47563 8450 92  8  0  0  0	
32  0  11544 63331728 253504 733584    0    0     0     0 48619 8395 92  8  0  0  0	
32  0  11544 63327448 253504 733760    0    0     0     0 49255 8405 92  8  0  0  0	
32  0  11544 63320116 253504 733944    0    0     0     0 47684 8424 92  8  0  0  0	
33  0  11544 63315996 253504 734112    0    0     0     0 49876 8461 91  9  0  0  0	
33  0  11544 63313144 253504 734308    0    0     0     0 48533 8460 92  8  0  0  0	
33  0  11544 63311036 253504 734468    0    0     0    12 47870 8401 92  8  0  0  0	
33  0  11544 63309612 253504 734636    0    0     0     0 49765 8485 92  8  0  0  0	
33  0  11544 63307296 253504 734824    0    0     0     0 47624 8387 92  8  0  0  0	
33  0  11544 63307428 253504 734908    0    0     0     0 49813 8445 92  8  0  0  0	
33  0  11544 63305816 253504 734960    0    0     0     0 47445 8391 93  7  0  0  0	
33  0  11544 63304112 253504 734964    0    0     0     0 48766 8388 92  8  0  0  0	
33  0  11544 63303616 253504 734968    0    0     0    68 48589 8408 92  8  0  0  0	
34  0  11544 63303864 253504 734968    0    0     0     0 47826 8428 92  8  0  0  0	
34  0  11544 63302616 253504 734976    0    0     0     0 49757 8413 91  9  0  0  0	
34  0  11544 63302740 253504 734988    0    0     0     0 47752 8445 92  8  0  0  0	
34  0  11544 63302540 253504 734992    0    0     0     0 49360 8461 92  8  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0  11544 63301300 253504 734992    0    0     0     0 47881 8399 92  8  0  0  0	
34  0  11544 63301192 253504 734996    0    0     0     0 48687 8393 92  8  0  0  0	
34  0  11544 63299960 253504 735000    0    0     0    12 48837 8406 92  8  0  0  0	
34  0  11544 63298968 253504 735004    0    0     0     0 47600 8450 92  8  0  0  0	
33  0  11544 63299072 253504 735008    0    0     0     0 50097 8396 91  9  0  0  0	
32  0  11544 63298204 253504 735012    0    0     0    28 47533 8474 92  8  0  0  0	
32  0  11544 63296592 253504 735016    0    0     0     0 49054 8390 92  8  0  0  0	
32  0  11544 63297452 253504 735016    0    0     0     0 48522 8460 92  8  0  0  0	
32  0  11544 63295840 253504 735020    0    0     0    36 47894 8401 92  8  0  0  0	
32  0  11544 63294600 253504 735024    0    0     0     0 49828 8461 91  9  0  0  0	
32  0  11544 63293980 253504 735032    0    0     0     4 47666 8420 93  7  0  0  0	
32  0  11544 63293616 253504 735032    0    0     0     0 50037 8534 92  8  0  0  0	
