procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  11544 64250076 253504 658748    0    0     0     2    0    0 33  3 64  0  0	
32  0  11544 62350500 253504 731996    0    0     0     0 16495 8289 34  5 61  0  0	
 9  0  11544 60927640 253504 740620    0    0     0     0 29692 6251 50 13 37  0  0	
34  0  11544 59379392 253504 741976    0    0     0    36 34195 10111 88  4  7  1  0	
32  0  11544 58118012 253504 741980    0    0     0     0 32553 9444 95  2  3  0  0	
12  0  11544 58014120 253504 741980    0    0     0     0 22128 6865 51 12 36  0  0	
32  0  11544 57971484 253504 742136    0    0     0     0 13393 5523 18 16 67  0  0	
32  0  11544 57969068 253504 742172    0    0     0     0 41394 8162 88  6  6  0  0	
32  0  11544 57969208 253504 742332    0    0     0     0 33014 8388 100  0  0  0  0	
32  0  11544 57969316 253504 742356    0    0     0     0 41618 8072 86  6  7  0  0	
33  0  11544 57969824 253504 742360    0    0     0     0 33012 8383 100  0  0  0  0	
10  0  11544 57970656 253504 742364    0    0     0     0 19064 5649 39 15 46  0  0	
33  0  11544 57970104 253504 742388    0    0     0    16 21807 4439 11 17 72  0  0	
33  0  11544 57969988 253504 742392    0    0     0     0 33029 8386 100  0  0  0  0	
12  0  11544 57970564 253504 742396    0    0     0     0 32460 8324 93  5  2  0  0	
11  0  11544 57970820 253504 742432    0    0     0     0 10102 3830  7 18 75  0  0	
33  0  11544 57966852 253504 742436    0    0     0     0 29885 6961 44 11 45  0  0	
33  0  11544 57966852 253504 742436    0    0     0     0 32539 11324 97  0  3  0  0	
13  0  11544 57967472 253504 742444    0    0     0    28 24389 7807 60 10 30  0  0	
13  0  11544 57966116 253504 742472    0    0     0     0 17563 5104 16 16 68  0  0	
34  0  11544 57968100 253504 742484    0    0     0     0 35108 7986 88  2  9  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0  11544 57968388 253504 742488    0    0     0     0 33054 8438 99  1  0  0  0	
10  0  11544 57968768 253504 742528    0    0     0     0 13308 4535 18 18 64  0  0	
34  0  11544 57968892 253504 742528    0    0     0     4 27858 5769 35 13 53  0  0	
34  0  11544 57969264 253504 742532    0    0     0     0 33055 8461 100  0  0  0  0	
34  0  11544 57967404 253504 742536    0    0     0     0 41342 8093 86  7  7  0  0	
34  0  11544 57968636 253504 742572    0    0     0     0 33029 8381 100  0  0  0  0	
