Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/21/20 	_x86_64_	(32 CPU)

11:57:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:57:40     all    0.69    0.00    2.76    3.99    0.00    0.09    0.00    0.00   92.47
11:57:40       0    1.03    0.00    4.12    6.19    0.00    0.00    0.00    0.00   88.66
11:57:40       1    0.00    0.00    1.01    6.06    0.00    0.00    0.00    0.00   92.93
11:57:40       2    0.00    0.00    7.92   14.85    0.00    0.00    0.00    0.00   77.23
11:57:40       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:57:40       4    1.00    0.00    7.00   15.00    0.00    0.00    0.00    0.00   77.00
11:57:40       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40       7    1.00    0.00    8.00   15.00    0.00    0.00    0.00    0.00   76.00
11:57:40       8    1.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00   95.00
11:57:40       9    1.02    0.00    4.08    4.08    0.00    0.00    0.00    0.00   90.82
11:57:40      10    1.00    0.00    2.00    7.00    0.00    0.00    0.00    0.00   90.00
11:57:40      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      12    1.98    0.00    7.92   14.85    0.00    0.00    0.00    0.00   75.25
11:57:40      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      15    2.00    0.00    7.00   15.00    0.00    0.00    0.00    0.00   76.00
11:57:40      16    1.01    0.00    5.05    3.03    0.00    0.00    0.00    0.00   90.91
11:57:40      17    1.01    0.00    2.02    3.03    0.00    0.00    0.00    0.00   93.94
11:57:40      18    0.99    0.00    1.98    0.99    0.00    0.00    0.00    0.00   96.04
11:57:40      19    0.99    0.00    0.99    0.99    0.00    0.00    0.00    0.00   97.03
11:57:40      20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:57:40      21    0.00    0.00    1.98    0.99    0.00    0.00    0.00    0.00   97.03
11:57:40      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      23    0.00    0.00    1.98    0.99    0.00    0.00    0.00    0.00   97.03
11:57:40      24    1.01    0.00    0.00    0.00    0.00    1.01    0.00    0.00   97.98
11:57:40      25    3.03    0.00    5.05   10.10    0.00    0.00    0.00    0.00   81.82
11:57:40      26    3.19    0.00   12.77    7.45    0.00    2.13    0.00    0.00   74.47
11:57:40      27    1.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00   96.00
11:57:40      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      29    0.00    0.00    1.98    0.99    0.00    0.00    0.00    0.00   97.03
11:57:40      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:57:40      31    0.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00   97.00

11:57:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:57:41     all   76.67    0.00    6.41    0.00    0.00    0.25    0.00    0.00   16.67
11:57:41       0   80.20    0.00    3.96    0.00    0.00    0.00    0.00    0.00   15.84
11:57:41       1   80.81    0.00    2.02    0.00    0.00    0.00    0.00    0.00   17.17
11:57:41       2   81.82    0.00    1.01    0.00    0.00    0.00    0.00    0.00   17.17
11:57:41       3   81.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   17.00
11:57:41       4   83.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   14.00
11:57:41       5   80.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   17.00
11:57:41       6   81.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   18.00
11:57:41       7   81.19    0.00    3.96    0.00    0.00    0.00    0.00    0.00   14.85
11:57:41       8   80.20    0.00    1.98    0.00    0.00    0.00    0.00    0.00   17.82
11:57:41       9   81.19    0.00    3.96    0.00    0.00    0.00    0.00    0.00   14.85
11:57:41      10   80.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   17.00
11:57:41      11   81.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   17.00
11:57:41      12   81.82    0.00    4.04    0.00    0.00    0.00    0.00    0.00   14.14
