Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/21/20 	_x86_64_	(32 CPU)

11:57:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:57:45     all   35.22    0.00    4.63    0.41    0.00    0.13    0.00    0.00   59.61
11:57:45       0   36.73    0.00    3.06    0.00    0.00    0.00    0.00    0.00   60.20
11:57:45       1   36.63    0.00    1.98    0.00    0.00    0.00    0.00    0.00   61.39
11:57:45       2   34.34    0.00    2.02    0.00    0.00    0.00    0.00    0.00   63.64
11:57:45       3   35.35    0.00    1.01    0.00    0.00    0.00    0.00    0.00   63.64
11:57:45       4   36.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45       5   36.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45       6   35.35    0.00    1.01    0.00    0.00    0.00    0.00    0.00   63.64
11:57:45       7   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45       8   36.36    0.00    3.03    0.00    0.00    0.00    0.00    0.00   60.61
11:57:45       9   37.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   59.00
11:57:45      10   35.35    0.00    2.02    0.00    0.00    0.00    0.00    0.00   62.63
11:57:45      11   35.35    0.00    1.01    0.00    0.00    0.00    0.00    0.00   63.64
11:57:45      12   35.35    0.00    2.02    1.01    0.00    0.00    0.00    0.00   61.62
11:57:45      13   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45      14   34.65    0.00    2.97    0.00    0.00    0.00    0.00    0.00   62.38
11:57:45      15   35.64    0.00    1.98    0.00    0.00    0.00    0.00    0.00   62.38
11:57:45      16   36.63    0.00    7.92    1.98    0.00    0.00    0.00    0.00   53.47
11:57:45      17   32.67    0.00    9.90    0.00    0.00    0.00    0.00    0.00   57.43
11:57:45      18   37.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   59.00
11:57:45      19   32.67    0.00   12.87    1.98    0.00    0.00    0.00    0.00   52.48
11:57:45      20   35.35    0.00    2.02    0.00    0.00    0.00    0.00    0.00   62.63
11:57:45      21   34.34    0.00   10.10    1.01    0.00    0.00    0.00    0.00   54.55
11:57:45      22   35.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45      23   33.00    0.00   12.00    2.00    0.00    0.00    0.00    0.00   53.00
11:57:45      24   35.71    0.00    1.02    0.00    0.00    1.02    0.00    0.00   62.24
11:57:45      25   35.00    0.00   10.00    2.00    0.00    0.00    0.00    0.00   53.00
11:57:45      26   37.00    0.00   10.00    0.00    0.00    2.00    0.00    0.00   51.00
11:57:45      27   31.00    0.00    7.00    1.00    0.00    0.00    0.00    0.00   61.00
11:57:45      28   36.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   63.00
11:57:45      29   33.66    0.00   10.89    1.98    0.00    0.00    0.00    0.00   53.47
11:57:45      30   35.64    0.00    1.98    0.00    0.00    0.00    0.00    0.00   62.38
11:57:45      31   32.32    0.00   14.14    1.01    0.00    0.00    0.00    0.00   52.53

