Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/21/20 	_x86_64_	(32 CPU)

11:58:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:58:03     all   33.48    0.00    4.82    0.88    0.00    0.03    0.00    0.00   60.79
11:58:03       0   32.65    0.00    4.08    0.00    0.00    0.00    0.00    0.00   63.27
11:58:03       1   33.66    0.00    2.97    0.00    0.00    0.00    0.00    0.00   63.37
11:58:03       2   32.32    0.00    3.03    0.00    0.00    0.00    0.00    0.00   64.65
11:58:03       3   32.32    0.00    3.03    0.00    0.00    0.00    0.00    0.00   64.65
11:58:03       4   32.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   64.00
11:58:03       5   31.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   65.00
11:58:03       6   32.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   65.00
11:58:03       7   33.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   65.00
11:58:03       8   31.31    0.00    6.06    0.00    0.00    0.00    0.00    0.00   62.63
11:58:03       9   32.67    0.00    9.90    1.98    0.00    0.00    0.00    0.00   55.45
11:58:03      10   34.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   64.00
11:58:03      11   32.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   64.00
11:58:03      12   31.31    0.00    4.04   16.16    0.00    0.00    0.00    0.00   48.48
11:58:03      13   31.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   65.00
11:58:03      14   33.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   65.00
11:58:03      15   31.31    0.00    5.05    0.00    0.00    0.00    0.00    0.00   63.64
11:58:03      16   35.35    0.00    8.08    1.01    0.00    0.00    0.00    0.00   55.56
11:58:03      17   37.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   57.00
11:58:03      18   34.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   62.00
11:58:03      19   36.63    0.00    7.92    0.99    0.00    0.00    0.00    0.00   54.46
11:58:03      20   32.32    0.00    3.03    0.00    0.00    0.00    0.00    0.00   64.65
11:58:03      21   35.64    0.00    7.92    1.98    0.00    0.00    0.00    0.00   54.46
11:58:03      22   33.66    0.00    1.98    0.00    0.00    0.00    0.00    0.00   64.36
11:58:03      23   37.37    0.00    6.06    1.01    0.00    0.00    0.00    0.00   55.56
11:58:03      24   31.68    0.00    4.95    0.00    0.00    0.00    0.00    0.00   63.37
