procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  12836 63976264 233012 450980    0    0     0     2    0    0 39  2 59  0  0	
32  0  12836 63154340 233012 525400    0    0     0    20 19787 8351 35  5 59  0  0	
33  0  12836 63144132 233012 526024    0    0     0     0 43744 8507 95  5  0  0  0	
33  0  12836 63142272 233012 526316    0    0     0     0 44649 8554 95  5  0  0  0	
32  0  12836 63142996 233012 526608    0    0     0     0 44974 8399 95  5  0  0  0	
33  0  12836 63144376 233012 526896    0    0     0     0 42466 8584 95  5  0  0  0	
32  0  12836 63145720 233012 527188    0    0     0    12 40716 8411 95  5  0  0  0	
33  0  12836 63144728 233012 527492    0    0     0     0 41039 8459 95  5  0  0  0	
33  0  12836 63146356 233012 527748    0    0     0     0 40320 8459 95  5  0  0  0	
33  0  12836 63145700 233012 527748    0    0     0     0 42487 8399 95  5  0  0  0	
33  0  12836 63146056 233012 527752    0    0     0     0 43109 8420 95  5  0  0  0	
33  0  12836 63148056 233012 527756    0    0     0     0 39789 8421 95  5  0  0  0	
33  0  12836 63147964 233012 527760    0    0     0    12 41918 8407 95  5  0  0  0	
33  0  12836 63148716 233012 527764    0    0     0     0 42502 8395 95  5  0  0  0	
33  0  12836 63148292 233012 527768    0    0     0     0 40888 8402 95  5  0  0  0	
33  0  12836 63148152 233012 527772    0    0     0     0 42349 8460 95  5  0  0  0	
33  0  12836 63150156 233012 527776    0    0     0     0 40293 8398 95  5  0  0  0	
34  0  12836 63150428 233012 527776    0    0     0     0 42202 8504 95  5  0  0  0	
