procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1  12836 63978648 233012 452144    0    0     0     2    0    0 39  2 59  0  0	
34  0  12836 61979184 233012 525784    0    0     0     4 16370 8364 33  5 61  1  0	
34  0  12836 58413268 233012 526632    0    0     0     0 35819 8409 88 12  0  0  0	
32  0  12836 57594744 233012 526636    0    0     0     0 34294 8370 96  4  0  0  0	
32  0  12836 57595600 233012 526968    0    0     0     0 34599 8363 98  2  0  0  0	
32  0  12836 57596092 233012 526976    0    0     0     0 34586 8374 99  1  0  0  0	
32  0  12836 57595104 233012 527012    0    0     0    20 34688 8376 99  1  0  0  0	
33  0  12836 57596624 233012 527020    0    0     0     0 36054 8404 98  2  0  0  0	
34  0  12836 57596192 233012 527040    0    0     0     0 34730 8375 99  1  0  0  0	
36  0  12836 57597768 233012 527056    0    0     0     0 34721 8411 99  1  0  0  0	
34  0  12836 57597188 233012 527064    0    0     0     0 34768 8447 99  1  0  0  0	
34  0  12836 57597708 233012 527088    0    0     0   156 34317 8367 99  1  0  0  0	
34  0  12836 57597624 233012 527104    0    0     0     0 34444 8433 98  2  0  0  0	
34  0  12836 57599020 233012 527136    0    0     0     0 36235 8489 98  2  0  0  0	
34  0  12836 57598904 233012 527140    0    0     0     0 34369 8439 99  1  0  0  0	
34  0  12836 57599336 233012 527160    0    0     0     0 34150 8418 99  1  0  0  0	
34  1  12836 57600096 233012 527180    0    0     0    36 34487 8462 99  1  0  0  0	
34  0  12836 57600604 233012 527192    0    0     0     4 34768 8460 98  2  0  0  0	
34  0  12836 57599984 233012 527220    0    0     0     0 34808 8363 98  2  0  0  0	
34  0  12836 57600676 233012 527236    0    0     0     0 36119 8392 98  2  0  0  0	
34  0  12836 57601096 233012 527268    0    0     0     0 34758 8390 99  1  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
