Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:22:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:22:43     all   86.69    0.00    2.62    0.00    0.00    0.00    0.00    0.00   10.69
19:22:43       0   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:22:43       1    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
19:22:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:22:43       3   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:22:43       4   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43       5   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43       6   87.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   11.00
19:22:43       7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:22:43       8   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43       9   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      10   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      11   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      12   94.06    0.00    3.96    0.00    0.00    0.00    0.00    0.00    1.98
19:22:43      13   96.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    2.00
19:22:43      14   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43      15   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
19:22:43      16   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      17   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43      18   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      19   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:43      20   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
19:22:43      21   84.16    0.00    3.96    0.00    0.00    0.00    0.00    0.00   11.88
19:22:43      22   94.12    0.00    3.92    0.00    0.00    0.00    0.00    0.00    1.96
19:22:43      23   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
19:22:43      24   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:22:43      25   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43      26   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      27   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:22:43      28   96.04    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.99
19:22:43      29   94.95    0.00    4.04    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43      30   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01
19:22:43      31   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01

19:22:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:22:44     all   90.44    0.00    2.00    0.00    0.00    0.00    0.00    0.00    7.56
19:22:44       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       1   56.44    0.00    0.99    0.00    0.00    0.00    0.00    0.00   42.57
19:22:44       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:22:44       3   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       4   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       5   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       6   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:22:44       8   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44       9   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      10   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      11   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      12   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      13   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      14   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      15   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:22:44      16   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
