Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:23:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:23:03     all   85.81    0.00    2.94    0.00    0.00    0.00    0.00    0.00   11.25
19:23:03       0   59.60    0.00    1.01    0.00    0.00    0.00    0.00    0.00   39.39
19:23:03       1   96.04    0.00    1.98    0.00    0.00    0.00    0.00    0.00    1.98
19:23:03       2   52.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   46.00
19:23:03       3   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03       4   60.40    0.00    2.97    0.00    0.00    0.00    0.00    0.00   36.63
19:23:03       5   80.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   17.00
19:23:03       6   17.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00   82.83
19:23:03       7   93.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    5.00
19:23:03       8   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03       9   96.04    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.99
19:23:03      10   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
19:23:03      11   96.04    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.99
19:23:03      12   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03      13   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03      14   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01
19:23:03      15   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:23:03      16   92.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    3.00
19:23:03      17   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
19:23:03      18   89.11    0.00    2.97    0.00    0.00    0.00    0.00    0.00    7.92
19:23:03      19   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
19:23:03      20   87.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   10.00
19:23:03      21   18.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   81.00
19:23:03      22   94.95    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00
19:23:03      23   82.18    0.00    3.96    0.00    0.00    0.00    0.00    0.00   13.86
19:23:03      24   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:03      25   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
19:23:03      26   97.96    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00
19:23:03      27   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03      28   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
19:23:03      29   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03      30   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:03      31   95.96    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00

19:23:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:23:04     all   91.37    0.00    1.88    0.00    0.00    0.00    0.00    0.00    6.75
19:23:04       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04       1   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:23:04       2   60.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   37.00
19:23:04       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04       4   32.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00   67.68
19:23:04       5   48.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   51.00
19:23:04       6   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04       7   67.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   32.00
19:23:04       8   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04       9   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      10   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      11   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      12   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      13   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      14   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      15   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      16   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      17   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      18   94.95    0.00    1.01    0.00    0.00    0.00    0.00    0.00    4.04
19:23:04      19   85.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   13.00
19:23:04      20   93.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    4.00
19:23:04      21   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      22   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      23   91.92    0.00    2.02    0.00    0.00    0.00    0.00    0.00    6.06
19:23:04      24   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      25   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      26   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      27   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      28   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      29   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      30   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:04      31   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00

19:23:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:23:05     all   91.31    0.00    1.81    0.00    0.00    0.00    0.00    0.00    6.88
19:23:05       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       1   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       2   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       3   92.93    0.00    2.02    0.00    0.00    0.00    0.00    0.00    5.05
19:23:05       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:23:05       5   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
19:23:05       6   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       7   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       8   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05       9   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      10   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      11   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      12   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      13   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      14   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      15   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      16   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      17   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      18   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      19   88.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   10.00
19:23:05      20   83.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   15.00
19:23:05      21   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      22   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      23   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      24   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      25   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      26   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      27   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      28   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      29   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      30   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:05      31   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00

19:23:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:23:06     all   91.59    0.00    1.78    0.00    0.00    0.00    0.00    0.00    6.62
19:23:06       0   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       1   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       2   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       3   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       4   29.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   69.00
19:23:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:23:06       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       7   69.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   30.00
19:23:06       8   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06       9   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      10   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      11   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      12   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      13   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      14   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      15   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      16   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      17   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      18   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      19   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      20   85.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   14.00
19:23:06      21   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      22   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:23:06      23   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
