Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-17.local) 	04/20/20 	_x86_64_	(32 CPU)

22:54:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
22:54:55     all   91.79    0.00    3.19    0.00    0.00    0.00    0.00    0.00    5.03
22:54:55       0   96.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:55       1   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55       2   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
22:54:55       3   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55       4   96.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:55       5   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55       6   91.09    0.00    6.93    0.00    0.00    0.00    0.00    0.00    1.98
22:54:55       7   96.04    0.00    1.98    0.00    0.00    0.00    0.00    0.00    1.98
22:54:55       8   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55       9   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00
22:54:55      10   95.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:55      11   93.07    0.00    4.95    0.00    0.00    0.00    0.00    0.00    1.98
22:54:55      12   94.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:55      13   94.95    0.00    3.03    0.00    0.00    0.00    0.00    0.00    2.02
22:54:55      14   88.12    0.00    2.97    0.00    0.00    0.00    0.00    0.00    8.91
22:54:55      15   93.94    0.00    4.04    0.00    0.00    0.00    0.00    0.00    2.02
22:54:55      16   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55      17   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55      18   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
22:54:55      19   96.04    0.00    1.98    0.00    0.00    0.00    0.00    0.00    1.98
22:54:55      20   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
22:54:55      21   95.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    2.00
22:54:55      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
