procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  15744 64456852 212988 539856    0    0     0     1    0    0 30  1 69  0  0	
32  0  15744 59972228 212988 539912    0    0     0     0 32135 9395 92  3  5  0  0	
33  0  15744 57470012 212988 539916    0    0     0     0 30519 8583 85  4 11  0  0	
33  0  15744 55657792 212988 539920    0    0     0     0 30000 7769 89  1  9  0  0	
34  0  15744 54277408 212988 539924    0    0     0     0 31574 8469 94  1  5  0  0	
30  0  15744 53069032 212988 539924    0    0     0    16 30660 7921 92  1  7  0  0	
32  0  15744 53034092 212992 539924    0    0     0    56 27012 9204 80  1 19  0  0	
32  0  15744 53034596 212992 539932    0    0     0     0 29065 7615 88  0 12  0  0	
32  0  15744 53034644 212992 539936    0    0     0     0 30639 8133 92  0  8  0  0	
28  0  15744 53034768 212992 539936    0    0     0     0 31075 8907 92  0  8  0  0	
 6  0  15744 53035132 212992 539940    0    0     0     0 22625 6757 66  1 33  0  0	
32  0  15744 53035124 212992 539944    0    0     0     0 25337 7396 76  0 24  0  0	
32  0  15744 53035140 212992 539948    0    0     0    12 30723 8011 93  0  7  0  0	
30  0  15744 53035512 212992 539948    0    0     0     0 31021 7985 94  0  6  0  0	
11  0  15744 53035512 212992 539952    0    0     0     0 28020 8028 82  1 17  0  0	
32  0  15744 53035528 212992 539956    0    0     0     0 22234 6292 65  0 34  0  0	
32  0  15744 53035900 212992 539960    0    0     0     0 32401 8950 97  0  3  0  0	
31  0  15744 53035900 212992 539960    0    0     0     0 32025 8964 95  0  4  0  0	
29  0  15744 53035900 212992 539968    0    0     0     0 30818 8277 92  1  7  0  0	
32  0  15744 53035984 212992 539976    0    0     0    68 19485 5820 55  1 44  0  0	
32  0  15744 53035984 212992 539980    0    0     0     0 33008 8373 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  15744 53035992 212992 539980    0    0     0     0 33032 8386 100  0  0  0  0	
32  0  15744 53035860 212992 539984    0    0     0     0 33013 8370 100  0  0  0  0	
33  0  15744 53035860 212992 539988    0    0     0     0 33004 8436 100  0  0  0  0	
32  0  15744 53035860 212992 539992    0    0     0     0 33062 8449 100  0  0  0  0	
32  0  15744 53035860 212992 539992    0    0     0    20 32995 8387 100  0  0  0  0	
32  0  15744 53035860 212992 539996    0    0     0     0 33039 8389 100  0  0  0  0	
32  0  15744 53035868 212992 540000    0    0     0     0 33012 8381 100  0  0  0  0	
32  0  15744 53035884 212992 540000    0    0     0     0 33025 8373 100  0  0  0  0	
32  0  15744 53035876 212992 540004    0    0     0     0 33007 8379 100  0  0  0  0	
32  0  15744 53035876 212992 540008    0    0     0     0 33014 8379 100  0  0  0  0	
32  0  15744 53035880 212992 540012    0    0     0     0 33053 8396 100  0  0  0  0	
32  0  15744 53035996 212992 540012    0    0     0     0 33011 8376 100  0  0  0  0	
32  0  15744 53035996 212992 540016    0    0     0     0 33010 8372 100  0  0  0  0	
32  0  15744 53035996 212992 540020    0    0     0     0 33022 8376 100  0  0  0  0	
32  0  15744 53035996 212992 540024    0    0     0     0 33003 8373 100  0  0  0  0	
32  0  15744 53035996 212992 540028    0    0     0     0 33075 8450 100  0  0  0  0	
32  0  15744 53035996 212992 540032    0    0     0     0 33003 8372 100  0  0  0  0	
32  0  15744 53035872 212992 540036    0    0     0     0 33065 8406 100  0  0  0  0	
32  0  15744 53035880 212992 540044    0    0     0     0 33012 8380 100  0  0  0  0	
32  0  15744 53035880 212992 540044    0    0     0     0 33013 8373 100  0  0  0  0	
32  0  15744 53035880 212992 540048    0    0     0     0 33031 8380 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  15744 53035872 212992 540052    0    0     0     0 33006 8406 100  0  0  0  0	
33  0  15744 53035872 212992 540060    0    0     0     0 33021 8417 100  0  0  0  0	
32  0  15744 53035872 212992 540060    0    0     0     0 33002 8375 100  0  0  0  0	
32  0  15744 53035872 212992 540064    0    0     0     0 33030 8374 100  0  0  0  0	
32  0  15744 53035872 212992 540068    0    0     0     0 33014 8380 100  0  0  0  0	
32  0  15744 53035880 212992 540072    0    0     0     0 33014 8493 100  0  0  0  0	
32  0  15744 53035888 212992 540072    0    0     0     0 33035 8442 100  0  0  0  0	
32  0  15744 53035880 212992 540076    0    0     0     0 33029 8375 100  0  0  0  0	
32  0  15744 53035880 212992 540080    0    0     0     0 33006 8374 100  0  0  0  0	
32  0  15744 53035880 212992 540080    0    0     0     0 33046 8386 100  0  0  0  0	
32  0  15744 53035748 212992 540084    0    0     0     0 32994 8372 100  0  0  0  0	
32  0  15744 53035748 212992 540088    0    0     0     0 33024 8376 100  0  0  0  0	
32  0  15744 53035748 212992 540096    0    0     0     0 33001 8379 100  0  0  0  0	
32  0  15744 53035748 212992 540096    0    0     0     0 33025 8376 100  0  0  0  0	
