procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 64308384 214520 656560    0    0     0     1    0    0 38  2 60  0  0	
36  0      0 64114156 214520 656400    0    0     0     4 30567 50509 87  3 11  0  0	
32  0      0 64113776 214520 656412    0    0     0     0 30776 36147 90  2  8  0  0	
32  0      0 64113776 214520 656416    0    0     0    32 31388 37154 92  2  6  0  0	
32  0      0 64114532 214520 656420    0    0     0     0 31213 34238 92  2  6  0  0	
32  0      0 64115168 214520 656420    0    0     0     0 31064 33478 92  2  6  0  0	
32  0      0 64115168 214520 656424    0    0     0    48 31543 38106 92  2  6  0  0	
32  0      0 64115900 214520 656428    0    0     0     0 31528 46168 92  2  6  0  0	
32  0      0 64116496 214520 656432    0    0     0     0 31547 39362 92  2  6  0  0	
33  0      0 64116496 214520 656432    0    0     0     0 31548 56685 92  2  6  0  0	
32  0      0 64117116 214520 656436    0    0     0    16 31576 41796 92  2  6  0  0	
32  0      0 64117364 214520 656440    0    0     0     0 31533 49635 92  2  6  0  0	
32  0      0 64117380 214520 656444    0    0     0     0 31562 42767 92  2  6  0  0	
32  0      0 64118008 214520 656444    0    0     0     0 32328 36255 94  2  4  0  0	
33  0      0 64118256 214520 656448    0    0     0     0 32531 26408 95  2  3  0  0	
32  0      0 64118256 214520 656452    0    0     0     0 32502 25123 95  2  3  0  0	
32  0      0 64118680 214520 656456    0    0     0    16 32523 28483 95  2  3  0  0	
32  0      0 64118928 214520 656456    0    0     0     0 32516 26471 95  2  3  0  0	
32  0      0 64118928 214520 656464    0    0     0     0 32514 31984 95  2  3  0  0	
32  0      0 64119036 214520 656472    0    0     0     0 32513 40354 95  2  3  0  0	
