procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 64312184 214520 656476    0    0     0     1    0    0 38  2 60  0  0	
33  0      0 63557532 214520 656496    0    0     0     0 30873 40721 86  3 11  0  0	
32  0      0 63557524 214520 656496    0    0     0    72 31250 54502 91  2  7  0  0	
32  0      0 63557524 214520 656500    0    0     0     0 30898 49520 91  2  7  0  0	
32  0      0 63558100 214520 656504    0    0     0     0 31415 37259 92  2  7  0  0	
32  0      0 63558128 214520 656504    0    0     0     0 31492 42391 91  2  7  0  0	
33  0      0 63558128 214520 656508    0    0     0     0 31757 35601 92  2  6  0  0	
32  0      0 63558436 214520 656516    0    0     0     0 31552 51775 92  2  6  0  0	
32  0      0 63558436 214520 656516    0    0     0     0 31806 44018 93  2  6  0  0	
32  0      0 63558436 214520 656516    0    0     0     0 32525 14418 96  1  3  0  0	
32  0      0 63558560 214520 656520    0    0     0     0 32511 19983 95  2  3  0  0	
32  0      0 63558552 214520 656524    0    0     0     0 32527 18916 96  1  3  0  0	
32  0      0 63558708 214520 656528    0    0     0     8 32511 13226 95  2  3  0  0	
32  0      0 63558840 214520 656528    0    0     0    20 32532 17775 95  2  3  0  0	
32  0      0 63558840 214520 656532    0    0     0     0 32509 27949 96  1  3  0  0	
32  0      0 63558840 214520 656536    0    0     0     0 32541 15712 95  2  3  0  0	
32  0      0 63558988 214520 656540    0    0     0     0 32522 16839 95  2  3  0  0	
32  0      0 63558996 214520 656540    0    0     0     0 32505 14487 95  2  3  0  0	
32  0      0 63558996 214520 656548    0    0     0     0 32529 9195 95  2  3  0  0	
32  0      0 63558996 214520 656556    0    0     0    16 32500 21642 95  2  3  0  0	
32  0      0 63558880 214520 656560    0    0     0     0 32532 9205 95  2  3  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 63558872 214520 656560    0    0     0     0 32497 9319 95  2  3  0  0	
32  0      0 63558872 214520 656564    0    0     0     0 32531 16116 95  2  3  0  0	
32  0      0 63558872 214520 656568    0    0     0     0 32504 24301 95  2  3  0  0	
32  0      0 63558748 214520 656572    0    0     0     0 32540 16583 95  2  3  0  0	
32  0      0 63558756 214520 656572    0    0     0    16 32527 25055 95  2  3  0  0	
32  0      0 63558748 214520 656576    0    0     0     0 32537 19877 96  1  3  0  0	
32  0      0 63558748 214520 656580    0    0     0     0 32540 22433 95  2  3  0  0	
32  0      0 63558748 214520 656580    0    0     0     0 32367 11792 95  2  3  0  0	
32  0      0 63558748 214520 656584    0    0     0     0 32308 9188 95  2  3  0  0	
32  0      0 63558748 214520 656588    0    0     0     0 32363 11811 95  2  3  0  0	
32  0      0 63558748 214520 656592    0    0     0    16 32327 20360 95  2  3  0  0	
32  0      0 63558748 214520 656592    0    0     0     0 32381 15104 96  1  3  0  0	
32  0      0 63558740 214520 656596    0    0     0     0 32332 13253 95  1  3  0  0	
32  0      0 63558740 214520 656600    0    0     0     0 32507 22190 95  2  3  0  0	
32  0      0 63558740 214520 656604    0    0     0     0 32529 24157 95  2  3  0  0	
32  0      0 63558748 214520 656608    0    0     0     8 32516 9349 95  2  3  0  0	
32  0      0 63558748 214520 656612    0    0     0     0 32514 20639 95  2  3  0  0	
32  0      0 63558748 214520 656616    0    0     0    20 32372 27612 95  1  3  0  0	
32  0      0 63558748 214520 656624    0    0     0     0 32336 10098 95  2  3  0  0	
32  0      0 63558748 214520 656624    0    0     0     0 32373 12932 95  2  3  0  0	
32  0      0 63558740 214520 656628    0    0     0     4 32284 9914 95  2  3  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 63558740 214520 656632    0    0     0     0 32372 9671 95  2  3  0  0	
32  0      0 63558740 214520 656640    0    0     0     0 32285 20896 95  2  3  0  0	
32  0      0 63558624 214520 656640    0    0     0    12 32542 20310 95  2  3  0  0	
32  0      0 63558632 214520 656644    0    0     0     0 32510 16397 95  2  3  0  0	
32  0      0 63558632 214520 656648    0    0     0     0 32530 13918 95  1  3  0  0	
32  0      0 63558632 214520 656652    0    0     0     0 32517 16418 95  1  3  0  0	
32  0      0 63558632 214520 656652    0    0     0     0 32531 19421 96  1  3  0  0	
32  0      0 63558632 214520 656656    0    0     0     0 32517 14394 96  1  3  0  0	
33  0      0 63558632 214520 656660    0    0     0    16 32432 28710 95  2  3  0  0	
32  0      0 63558500 214520 656660    0    0     0     0 32412 16524 95  2  3  0  0	
32  0      0 63558500 214520 656664    0    0     0     0 32400 13034 95  2  3  0  0	
32  0      0 63558500 214520 656668    0    0     0     0 32431 10100 95  2  3  0  0	
32  0      0 63558500 214520 656676    0    0     0     0 32379 10983 95  2  3  0  0	
32  0      0 63558500 214520 656676    0    0     0     0 32385 14366 95  2  3  0  0	
32  0      0 63558508 214520 656680    0    0     0    16 32412 14051 95  2  3  0  0	
32  0      0 63558508 214520 656684    0    0     0     0 32389 20796 96  1  3  0  0	
32  0      0 63558508 214520 656692    0    0     0     0 32321 19722 96  1  3  0  0	
32  0      0 63558508 214520 656692    0    0     0     0 32364 27282 95  2  3  0  0	
32  0      0 63558508 214520 656696    0    0     0     0 32349 21983 96  1  3  0  0	
32  0      0 63558500 214520 656700    0    0     0     0 32329 14286 96  1  3  0  0	
32  0      0 63558500 214520 656704    0    0     0     0 32386 23807 95  1  3  0  0	
