Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:17:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:16     all   79.92    0.00    3.35    0.00    0.00    0.00    0.00    0.00   16.73
19:17:16       0    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
19:17:16       1   31.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   67.00
19:17:16       2   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
19:17:16       3   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16       4   65.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   32.00
19:17:16       5   30.93    0.00    1.03    0.00    0.00    0.00    0.00    0.00   68.04
19:17:16       6   64.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   34.00
19:17:16       7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
19:17:16       8   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16       9   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      10   94.06    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.99
19:17:16      11   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      12   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      13   94.95    0.00    4.04    0.00    0.00    0.00    0.00    0.00    1.01
19:17:16      14   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      15   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      16   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      17   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      18   93.07    0.00    3.96    0.00    0.00    0.00    0.00    0.00    2.97
19:17:16      19   95.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    2.00
19:17:16      20   93.07    0.00    2.97    0.00    0.00    0.00    0.00    0.00    3.96
19:17:16      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:16      22   93.07    0.00    2.97    0.00    0.00    0.00    0.00    0.00    3.96
19:17:16      23   91.09    0.00    5.94    0.00    0.00    0.00    0.00    0.00    2.97
19:17:16      24   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      25   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      26   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      27   94.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    2.00
19:17:16      28   93.07    0.00    4.95    0.00    0.00    0.00    0.00    0.00    1.98
19:17:16      29   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:16      30   94.06    0.00    2.97    0.00    0.00    0.00    0.00    0.00    2.97
19:17:16      31   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
