Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:17:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:18     all   77.60    0.00    7.25    0.00    0.00    0.00    0.00    0.00   15.15
19:17:18       0   91.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    2.00
19:17:18       1   92.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18       2   90.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:18       4   91.09    0.00    6.93    0.00    0.00    0.00    0.00    0.00    1.98
19:17:18       5    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00   98.98
19:17:18       6   89.11    0.00    8.91    0.00    0.00    0.00    0.00    0.00    1.98
19:17:18       7   84.16    0.00    4.95    0.00    0.00    0.00    0.00    0.00   10.89
19:17:18       8   89.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18       9   89.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      10   88.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      11   87.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      12   91.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      13   90.10    0.00    8.91    0.00    0.00    0.00    0.00    0.00    0.99
19:17:18      14   85.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      15   69.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   26.00
19:17:18      16   92.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      17   91.92    0.00    7.07    0.00    0.00    0.00    0.00    0.00    1.01
19:17:18      18   91.09    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.99
19:17:18      19   92.08    0.00    5.94    0.00    0.00    0.00    0.00    0.00    1.98
19:17:18      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:18      21   93.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      22   83.17    0.00    5.94    0.00    0.00    0.00    0.00    0.00   10.89
19:17:18      23   79.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   16.00
19:17:18      24   89.11    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.99
19:17:18      25   89.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      26   89.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    2.00
19:17:18      27   90.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:18      28   70.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   27.00
19:17:18      29   29.70    0.00    0.99    0.00    0.00    0.00    0.00    0.00   69.31
19:17:18      30   84.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    2.00
19:17:18      31   91.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    1.00

19:17:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:19     all   90.18    0.00    1.60    0.00    0.00    0.00    0.00    0.00    8.23
19:17:19       0   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       1   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       2   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       3   33.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   66.00
19:17:19       4   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       5    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
19:17:19       6   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       7   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       8   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19       9   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      10   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      12   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      13   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      14   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      15   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      16   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      17   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      18   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      19   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:19      21   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      22   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      23   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      24   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      25   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      26   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      27   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      28   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      29   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      30   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:17:19      31   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00

19:17:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:20     all   92.34    0.00    1.47    0.00    0.00    0.03    0.00    0.00    6.16
19:17:20       0   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20       1   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20       2   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20       3   95.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    4.00
19:17:20       4   38.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   61.00
19:17:20       5    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
19:17:20       6   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20       7   67.33    0.00    1.98    0.00    0.00    0.00    0.00    0.00   30.69
19:17:20       8   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20       9   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20      10   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20      11   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20      12   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20      13   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:20      14   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
