procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 64278332 214464 655088    0    0     0     1    0    0 38  2 60  0  0	
36  0      0 60805552 214468 655104    0    0     0    48 28852 65535 78  7 15  0  0	
36  0      0 60805440 214468 655104    0    0     0     0 30507 22609 90  2  8  0  0	
33  0      0 60805636 214468 655108    0    0     0     0 31166 14828 92  1  6  0  0	
33  0      0 60806432 214468 655112    0    0     0    12 31121 12940 92  1  6  0  0	
33  0      0 60806804 214468 655112    0    0     0     0 31146 15554 92  1  6  0  0	
32  0      0 60807060 214468 655116    0    0     0     0 31149 22844 92  1  6  0  0	
33  0      0 60807828 214468 655120    0    0     0     0 31044 11602 92  2  6  0  0	
32  0      0 60808044 214468 655124    0    0     0     0 31145 19279 92  1  6  0  0	
32  0      0 60808292 214468 655124    0    0     0     0 31072 15459 92  1  6  0  0	
33  0      0 60809016 214468 655128    0    0     0    12 31308 18910 92  2  6  0  0	
