Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:20:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:20:08     all   87.26    0.00    2.50    0.00    0.00    0.00    0.00    0.00   10.24
19:20:08       0   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08       1   96.04    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.99
19:20:08       2   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08       3   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01
19:20:08       4   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08       5   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08       6   88.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   11.00
19:20:08       7   95.10    0.00    2.94    0.00    0.00    0.00    0.00    0.00    1.96
19:20:08       8   46.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   52.00
19:20:08       9   91.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    5.00
19:20:08      10   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:20:08      11   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08      12   95.05    0.00    2.97    0.00    0.00    0.00    0.00    0.00    1.98
19:20:08      13   95.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    2.00
19:20:08      14   93.07    0.00    4.95    0.00    0.00    0.00    0.00    0.00    1.98
19:20:08      15   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08      16   89.90    0.00    2.02    0.00    0.00    0.00    0.00    0.00    8.08
19:20:08      17   94.06    0.00    3.96    0.00    0.00    0.00    0.00    0.00    1.98
19:20:08      18   95.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    2.00
19:20:08      19   87.88    0.00    2.02    0.00    0.00    0.00    0.00    0.00   10.10
19:20:08      20   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08      21   86.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   12.00
19:20:08      22   88.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   11.00
19:20:08      23   87.88    0.00    1.01    0.00    0.00    0.00    0.00    0.00   11.11
19:20:08      24   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:20:08      25   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:08      26   86.87    0.00    1.01    0.00    0.00    0.00    0.00    0.00   12.12
