Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:20:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:20:21     all   87.43    0.00    4.28    0.00    0.00    0.00    0.00    0.00    8.28
19:20:21       0   82.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   15.00
19:20:21       1   96.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21       2   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21       3   94.95    0.00    4.04    0.00    0.00    0.00    0.00    0.00    1.01
19:20:21       4   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21       5   95.96    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21       6   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21       7   95.96    0.00    3.03    0.00    0.00    0.00    0.00    0.00    1.01
19:20:21       8   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21       9   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21      10   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      11   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00   87.88
19:20:21      12   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      13   93.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      14   93.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:20:21      16   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      17   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      18   95.96    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21      19   89.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    7.00
19:20:21      20   94.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      21   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      22   96.97    0.00    2.02    0.00    0.00    0.00    0.00    0.00    1.01
19:20:21      23   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      24   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:21      25   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      26   95.05    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.99
19:20:21      27   86.73    0.00    6.12    0.00    0.00    0.00    0.00    0.00    7.14
19:20:21      28   95.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    1.00
19:20:21      29   82.83    0.00    3.03    0.00    0.00    0.00    0.00    0.00   14.14
19:20:21      30   82.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   14.00
19:20:21      31   91.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00

19:20:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:20:22     all   92.06    0.00    1.72    0.00    0.00    0.00    0.00    0.00    6.22
19:20:22       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       1   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       2   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       4   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       5   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       7   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22       8   64.36    0.00    1.98    0.00    0.00    0.00    0.00    0.00   33.66
19:20:22       9   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      10   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      11   96.04    0.00    1.98    0.00    0.00    0.00    0.00    0.00    1.98
19:20:22      12   97.03    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.99
19:20:22      13   78.79    0.00    2.02    0.00    0.00    0.00    0.00    0.00   19.19
19:20:22      14   54.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   45.00
19:20:22      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:20:22      16   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      17   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      18   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      19   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      20   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      21   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      22   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      23   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      24   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      25   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      26   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      27   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      28   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      29   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      30   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00
19:20:22      31   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00

19:20:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:20:23     all   92.06    0.00    1.72    0.00    0.00    0.00    0.00    0.00    6.22
19:20:23       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       1   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       2   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       3   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       4   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       5   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       6   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23       8   86.87    0.00    2.02    0.00    0.00    0.00    0.00    0.00   11.11
19:20:23       9   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      10   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      11   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      12   60.61    0.00    2.02    0.00    0.00    0.00    0.00    0.00   37.37
19:20:23      13   86.14    0.00    1.98    0.00    0.00    0.00    0.00    0.00   11.88
19:20:23      14   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:20:23      16   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      17   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      18   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      19   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      20   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      21   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      22   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      23   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      24   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      25   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      26   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      27   60.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   40.00
19:20:23      28   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      29   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      30   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:23      31   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00

19:20:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:20:24     all   91.97    0.00    1.81    0.00    0.00    0.00    0.00    0.00    6.22
19:20:24       0   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       1   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       2   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       3   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       4   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       5   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       6   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       7   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00
19:20:24       8   54.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   45.00
19:20:24       9   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00
