procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 64304296 214492 656364    0    0     0     1    0    0 38  2 60  0  0	
34  0      0 64104200 214492 656324    0    0     0    68 31299 76983 87  2 10  0  0	
34  0      0 64103332 214492 656336    0    0     0     0 31494 13236 92  1  6  0  0	
32  0      0 64103332 214492 656340    0    0     0     0 31539 12879 92  2  6  0  0	
32  0      0 64104416 214492 656344    0    0     0     0 31287 15423 92  2  6  0  0	
32  0      0 64104760 214492 656344    0    0     0    24 31008 15299 92  2  6  0  0	
32  0      0 64104760 214492 656348    0    0     0     0 31000 17952 92  2  6  0  0	
32  0      0 64105700 214492 656352    0    0     0     0 31185 15504 92  1  6  0  0	
32  0      0 64105700 214492 656356    0    0     0     0 31506 16864 92  2  6  0  0	
32  0      0 64105828 214492 656356    0    0     0     0 31532 15243 92  1  6  0  0	
32  0      0 64106820 214492 656360    0    0     0    16 31628 16916 92  2  6  0  0	
32  0      0 64107000 214492 656364    0    0     0     0 31543 13534 92  2  6  0  0	
32  0      0 64107140 214492 656368    0    0     0     0 31476 16323 92  2  6  0  0	
32  0      0 64107980 214492 656368    0    0     0     0 31521 14938 92  2  6  0  0	
