procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 64305656 214492 656368    0    0     0     1    0    0 38  2 60  0  0	
34  0      0 63517608 214492 656220    0    0     0     0 31530 34197 87  4  8  0  0	
33  0      0 63517624 214492 656220    0    0     0     0 31536 12247 92  2  6  0  0	
32  0      0 63517616 214492 656224    0    0     0    56 31537 19679 92  2  6  0  0	
32  0      0 63518840 214492 656228    0    0     0     0 31520 14953 92  2  6  0  0	
32  0      0 63518840 214492 656228    0    0     0     0 31500 20282 92  2  6  0  0	
32  0      0 63518848 214492 656232    0    0     0     0 31519 16556 92  2  6  0  0	
32  0      0 63519800 214492 656236    0    0     0     0 31525 23733 92  2  6  0  0	
32  0      0 63519792 214492 656240    0    0     0     0 31553 21422 92  2  6  0  0	
32  0      0 63519792 214492 656240    0    0     0     0 31485 21795 92  2  6  0  0	
32  0      0 63520168 214492 656244    0    0     0     0 31530 12207 92  2  6  0  0	
32  0      0 63520168 214492 656248    0    0     0    12 31494 11537 92  2  6  0  0	
32  0      0 63520168 214492 656252    0    0     0     0 31525 18473 92  2  6  0  0	
32  0      0 63520292 214492 656252    0    0     0     0 31491 21928 92  2  6  0  0	
32  0      0 63520324 214492 656256    0    0     0     0 31527 31518 92  2  6  0  0	
32  0      0 63520200 214492 656260    0    0     0     0 31507 24127 92  2  6  0  0	
32  0      0 63520324 214492 656264    0    0     0     0 31509 22169 92  2  6  0  0	
32  0      0 63520324 214492 656264    0    0     0     0 31506 25313 92  2  6  0  0	
34  0      0 63520340 214492 656272    0    0     0    32 31520 27227 92  2  6  0  0	
33  0      0 63520412 214492 656280    0    0     0     0 31507 25834 92  2  6  0  0	
32  0      0 63520412 214492 656284    0    0     0     0 31540 17254 92  2  6  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 63520412 214492 656284    0    0     0     0 31510 18783 92  2  6  0  0	
32  0      0 63520412 214492 656288    0    0     0     0 31249 18869 92  2  6  0  0	
32  0      0 63520404 214492 656292    0    0     0    12 31383 18589 92  2  6  0  0	
32  0      0 63520404 214492 656296    0    0     0    16 31169 21868 92  2  6  0  0	
32  0      0 63520404 214492 656296    0    0     0     0 30992 30969 92  2  6  0  0	
32  0      0 63520404 214492 656300    0    0     0     0 31358 21427 92  2  6  0  0	
32  0      0 63520412 214492 656304    0    0     0     0 31537 25345 92  2  6  0  0	
32  0      0 63520412 214492 656304    0    0     0     0 31518 19141 92  1  6  0  0	
32  0      0 63520412 214492 656308    0    0     0     0 31083 25784 92  2  6  0  0	
32  0      0 63520412 214492 656312    0    0     0     0 31365 22229 92  2  6  0  0	
32  0      0 63520412 214492 656316    0    0     0    16 31499 30208 92  2  6  0  0	
32  0      0 63520412 214492 656316    0    0     0     0 31052 29987 92  2  6  0  0	
32  0      0 63520404 214492 656320    0    0     0     0 30998 23071 92  2  6  0  0	
32  0      0 63520404 214492 656324    0    0     0     0 31291 22835 92  2  6  0  0	
32  0      0 63520396 214492 656328    0    0     0     0 31503 16560 92  2  6  0  0	
32  0      0 63520396 214492 656332    0    0     0     0 31514 12843 92  1  6  0  0	
32  0      0 63520396 214492 656336    0    0     0     0 31516 17991 92  2  6  0  0	
32  0      0 63520404 214492 656340    0    0     0    16 31864 20012 95  1  4  0  0	
32  0      0 63520280 214492 656348    0    0     0     0 32362 11320 95  2  3  0  0	
32  0      0 63520280 214492 656348    0    0     0     0 32521 13060 96  1  3  0  0	
32  0      0 63520280 214492 656352    0    0     0     0 32482 9529 95  2  3  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 63520404 214492 656356    0    0     0     0 32534 12347 96  1  3  0  0	
32  0      0 63520396 214492 656364    0    0     0     0 32498 11630 96  1  3  0  0	
32  0      0 63520396 214492 656364    0    0     0     0 32537 10184 95  2  3  0  0	
32  0      0 63520396 214492 656368    0    0     0    16 32518 10576 96  1  3  0  0	
32  0      0 63520396 214492 656372    0    0     0     0 32515 11064 95  2  3  0  0	
32  0      0 63520404 214492 656376    0    0     0     0 32522 9313 95  2  3  0  0	
32  0      0 63520404 214492 656376    0    0     0     4 32502 11129 96  1  3  0  0	
