procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 64617708 214864 341792    0    0     0     1    0    0 38  2 60  0  0	
30  0      0 60779180 214864 341420    0    0     0     0 23060 33344 65  3 32  0  0	
32  0      0 58099660 214864 341424    0    0     0     0 31971 7872 81 10  9  0  0	
32  0      0 54946056 214864 341428    0    0     0    48 32975 8344 93  7  0  0  0	
32  0      0 52753260 214864 341432    0    0     0     0 33012 8347 95  5  0  0  0	
32  0      0 52753640 214864 341432    0    0     0    12 33023 8361 100  0  0  0  0	
32  0      0 52753640 214864 341436    0    0     0     0 32985 8329 100  0  0  0  0	
32  0      0 52754252 214864 341440    0    0     0     0 33008 8343 100  0  0  0  0	
33  0      0 52754708 214864 341444    0    0     0   104 33018 8394 100  0  0  0  0	
32  0      0 52754708 214864 341444    0    0     0     0 32975 8334 100  0  0  0  0	
32  0      0 52755328 214864 341448    0    0     0     0 33026 8396 100  0  0  0  0	
32  0      0 52755700 214864 341452    0    0     0    12 32990 8339 100  0  0  0  0	
32  0      0 52755596 214864 341456    0    0     0     0 32994 8331 100  0  0  0  0	
32  0      0 52756232 214864 341456    0    0     0     0 32977 8325 100  0  0  0  0	
32  0      0 52756512 214864 341460    0    0     0     0 33008 8412 100  0  0  0  0	
32  0      0 52756512 214864 341464    0    0     0     0 32978 8328 100  0  0  0  0	
32  0      0 52757156 214864 341468    0    0     0     0 32987 8333 100  0  0  0  0	
32  0      0 52757364 214864 341468    0    0     0     0 32991 8328 100  0  0  0  0	
32  0      0 52757364 214864 341476    0    0     0     0 32999 8340 100  0  0  0  0	
32  0      0 52757608 214864 341484    0    0     0     0 32965 8327 100  0  0  0  0	
32  0      0 52757696 214864 341488    0    0     0     0 32995 8331 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 52757704 214864 341488    0    0     0     0 33000 8323 100  0  0  0  0	
33  0      0 52757704 214864 341492    0    0     0     0 33024 8459 100  0  0  0  0	
32  0      0 52757704 214864 341496    0    0     0     4 32978 8344 100  0  0  0  0	
32  0      0 52757580 214864 341500    0    0     0     0 33001 8328 100  0  0  0  0	
32  0      0 52757580 214864 341500    0    0     0     0 32973 8337 100  0  0  0  0	
32  0      0 52757580 214864 341504    0    0     0     0 32997 8336 100  0  0  0  0	
32  0      0 52757572 214864 341508    0    0     0     0 32995 8337 100  0  0  0  0	
32  0      0 52757572 214864 341508    0    0     0   804 33094 8487 100  0  0  0  0	
32  0      0 52757448 214864 341512    0    0     0     0 32983 8331 100  0  0  0  0	
32  0      0 52757448 214864 341516    0    0     0     0 32996 8327 100  0  0  0  0	
32  0      0 52757448 214864 341520    0    0     0     0 32989 8338 100  0  0  0  0	
32  0      0 52757448 214864 341520    0    0     0     0 32991 8329 100  0  0  0  0	
32  0      0 52757456 214864 341524    0    0     0     0 33025 8354 100  0  0  0  0	
32  0      0 52757448 214864 341528    0    0     0     0 33022 8384 100  0  0  0  0	
32  0      0 52757448 214864 341532    0    0     0     0 32992 8334 100  0  0  0  0	
32  0      0 52757324 214864 341536    0    0     0     0 32996 8348 100  0  0  0  0	
33  0      0 52757308 214864 341540    0    0     0     0 32997 8389 100  0  0  0  0	
32  0      0 52757308 214864 341544    0    0     0     0 33000 8338 100  0  0  0  0	
32  0      0 52757308 214864 341552    0    0     0     0 32990 8327 100  0  0  0  0	
32  0      0 52757308 214864 341552    0    0     0     0 32981 8343 100  0  0  0  0	
32  0      0 52757324 214864 341556    0    0     0     0 33000 8333 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 52757324 214864 341560    0    0     0     0 33006 8334 100  0  0  0  0	
32  0      0 52757324 214864 341568    0    0     0    16 32995 8349 100  0  0  0  0	
32  0      0 52757324 214864 341568    0    0     0     0 32997 8325 100  0  0  0  0	
32  0      0 52757324 214864 341572    0    0     0     0 32993 8325 100  0  0  0  0	
32  0      0 52757324 214864 341576    0    0     0    20 33021 8419 100  0  0  0  0	
32  0      0 52757320 214864 341580    0    0     0     0 32979 8334 100  0  0  0  0	
32  0      0 52757328 214864 341580    0    0     0     0 33004 8336 100  0  0  0  0	
32  0      0 52757328 214864 341584    0    0     0     0 32985 8325 100  0  0  0  0	
33  0      0 52757328 214864 341588    0    0     0     0 32982 8378 100  0  0  0  0	
32  0      0 52757328 214864 341588    0    0     0     0 32993 8349 100  0  0  0  0	
32  0      0 52757328 214864 341592    0    0     0     0 32985 8330 100  0  0  0  0	
32  0      0 52757336 214864 341596    0    0     0     0 32986 8347 100  0  0  0  0	
32  0      0 52757212 214864 341604    0    0     0     0 33014 8330 100  0  0  0  0	
32  0      0 52757212 214864 341604    0    0     0     0 32980 8338 100  0  0  0  0	
33  0      0 52757220 214864 341608    0    0     0     0 32978 8331 100  0  0  0  0	
32  0      0 52757080 214864 341612    0    0     0     0 32991 8372 100  0  0  0  0	
32  0      0 52757080 214864 341620    0    0     0     0 33020 8398 100  0  0  0  0	
32  0      0 52757080 214864 341620    0    0     0     0 32979 8335 100  0  0  0  0	
33  0      0 52757080 214864 341624    0    0     0     0 32998 8334 100  0  0  0  0	
32  0      0 52757088 214864 341628    0    0     0     0 32991 8338 100  0  0  0  0	
32  0      0 52757088 214864 341632    0    0     0     0 32980 8325 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 52757088 214864 341632    0    0     0     0 32990 8345 100  0  0  0  0	
32  0      0 52757088 214864 341636    0    0     0     0 33001 8326 100  0  0  0  0	
33  0      0 52757088 214864 341640    0    0     0     0 32966 8392 100  0  0  0  0	
32  0      0 52757088 214864 341644    0    0     0     0 32991 8352 100  0  0  0  0	
32  0      0 52757080 214864 341644    0    0     0     0 32980 8324 100  0  0  0  0	
32  0      0 52757080 214864 341648    0    0     0     0 33020 8355 100  0  0  0  0	
32  0      0 52757072 214864 341652    0    0     0     0 32995 8327 100  0  0  0  0	
32  0      0 52757072 214864 341656    0    0     0     0 33008 8403 100  0  0  0  0	
32  0      0 52757072 214864 341660    0    0     0     0 32990 8333 100  0  0  0  0	
33  0      0 52757072 214864 341664    0    0     0     0 33008 8335 100  0  0  0  0	
32  0      0 52757080 214864 341668    0    0     0     0 33013 8340 100  0  0  0  0	
32  0      0 52757080 214864 341668    0    0     0     0 32981 8342 100  0  0  0  0	
32  0      0 52757080 214864 341672    0    0     0     0 32972 8328 100  0  0  0  0	
32  0      0 52757088 214864 341676    0    0     0     0 33009 8339 100  0  0  0  0	
32  0      0 52757072 214864 341684    0    0     0     0 32985 8329 100  0  0  0  0	
32  0      0 52757072 214864 341684    0    0     0     4 32983 8340 100  0  0  0  0	
32  0      0 52757072 214864 341688    0    0     0     0 33003 8333 100  0  0  0  0	
33  0      0 52757072 214864 341692    0    0     0     0 32990 8392 100  0  0  0  0	
33  0      0 52757080 214864 341696    0    0     0     0 32982 8335 100  0  0  0  0	
32  0      0 52757080 214864 341696    0    0     0     0 33036 8405 100  0  0  0  0	
32  0      0 52757080 214864 341700    0    0     0     0 32984 8339 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 52757080 214864 341704    0    0     0    16 32987 8343 100  0  0  0  0	
32  0      0 52756956 214864 341708    0    0     0     0 32993 8333 100  0  0  0  0	
32  0      0 52756956 214864 341712    0    0     0     0 32989 8331 100  0  0  0  0	
32  0      0 52756948 214864 341716    0    0     0     0 32971 8333 100  0  0  0  0	
32  0      0 52756956 214864 341720    0    0     0     0 33013 8338 100  0  0  0  0	
32  0      0 52756956 214864 341728    0    0     0     0 32993 8327 100  0  0  0  0	
