Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-17.local) 	04/20/20 	_x86_64_	(32 CPU)

18:35:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:35:39     all    3.09    0.00    0.09    0.00    0.00    0.00    0.00    0.00   96.81
18:35:39       0   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
18:35:39       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:35:39       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:35:39      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      18    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:35:39      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:39      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:35:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:35:40     all    3.15    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.78
18:35:40       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:35:40       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      16    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
18:35:40      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:40      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:35:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:35:41     all    3.13    0.00    0.03    0.00    0.00    0.00    0.00    0.00   96.84
18:35:41       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:35:41       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:35:41       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
