Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-17.local) 	04/20/20 	_x86_64_	(32 CPU)

18:36:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:36:11     all    3.00    0.00    0.19    0.00    0.00    0.00    0.00    0.00   96.81
18:36:11       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:36:11       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:36:11       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11       8   78.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   20.00
18:36:11       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      18   17.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   80.00
18:36:11      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:11      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:36:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:36:12     all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
18:36:12       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
18:36:12       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:36:12       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:36:12       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:12      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:36:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:36:13     all    3.13    0.00    0.03    0.00    0.00    0.00    0.00    0.00   96.84
18:36:13       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:36:13       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:36:13      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:13      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:36:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:36:14     all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
18:36:14       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       6    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
18:36:14       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14       8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:36:14       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:36:14      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
