Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-17.local) 	04/20/20 	_x86_64_	(32 CPU)

18:38:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:38:13     all    2.81    0.00    0.38    0.00    0.00    0.00    0.00    0.00   96.81
18:38:13       0   90.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00
18:38:13       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:38:13       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      16    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:38:13      17    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
18:38:13      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:38:13      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:13      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:38:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:38:14     all    3.03    0.00    0.19    0.00    0.00    0.00    0.00    0.00   96.78
18:38:14       0   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
18:38:14       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:38:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14       9    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:38:14      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:14      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:38:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:38:15     all    3.03    0.00    0.13    0.00    0.00    0.00    0.00    0.00   96.84
18:38:15       0   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00
18:38:15       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:38:15       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      17    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:38:15      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:38:15      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
