procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15692 64556508 219144 424176    0    0     0     2    0    0 23  4 73  0  0	
 2  0  15692 64071796 219144 424340    0    0     0     0 3164 2514  3  0 97  0  0	
 2  0  15692 63585552 219144 424340    0    0     0    32 3012 2406  3  0 97  0  0	
 2  0  15692 63097136 219144 424340    0    0     0     0 3119 2609  3  0 97  0  0	
 1  0  15692 62606924 219144 424340    0    0     0     0 2995 2374  3  0 97  0  0	
 2  0  15692 62112544 219144 424340    0    0     0     0 3068 2484  3  0 97  0  0	
 1  0  15692 61618108 219144 424340    0    0     0    56 3015 2401  3  0 97  0  0	
 1  0  15692 61126304 219144 424340    0    0     0    24 3051 2470  3  0 97  0  0	
 1  0  15692 60633792 219144 424340    0    0     0     0 2993 2374  3  0 97  0  0	
 1  0  15692 60137192 219144 424340    0    0     0     0 3060 2468  3  0 97  0  0	
 3  0  15692 59640832 219144 424340    0    0     0     0 2998 2389  3  0 97  0  0	
 1  0  15692 59007148 219144 424340    0    0     0     0 3089 2513  3  1 97  0  0	
 2  0  15692 58885944 219144 424340    0    0     0     0 2994 2392  3  0 97  0  0	
 1  0  15692 58779428 219144 424340    0    0     0     0 3094 2509  3  0 97  0  0	
 1  0  15692 58668588 219144 424340    0    0     0     0 3024 2403  3  0 97  0  0	
 2  0  15692 58568608 219144 424340    0    0     0     0 3114 2558  3  0 97  0  0	
 1  0  15692 58463912 219144 424340    0    0     0     0 3009 2381  3  0 97  0  0	
 2  0  15692 58355368 219144 424340    0    0     0     0 3059 2495  3  0 97  0  0	
 1  0  15692 58250920 219144 424340    0    0     0     0 3002 2392  3  0 97  0  0	
 1  0  15692 58150692 219144 424348    0    0     0     0 3071 2511  3  0 97  0  0	
 3  0  15692 58048044 219144 424348    0    0     0     0 3001 2388  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15692 57947680 219144 424348    0    0     0     0 3099 2529  3  0 97  0  0	
 1  0  15692 57849128 219144 424348    0    0     0     0 2994 2387  3  0 97  0  0	
 1  0  15692 57750936 219144 424348    0    0     0     0 3059 2486  3  0 97  0  0	
 1  0  15692 57648288 219144 424348    0    0     0     0 2994 2384  3  0 97  0  0	
 2  0  15692 57547936 219144 424348    0    0     0     0 3136 2630  3  0 97  0  0	
 1  0  15692 57449384 219144 424348    0    0     0     0 3037 2399  3  0 97  0  0	
 2  0  15692 57348800 219144 424348    0    0     0     0 3112 2601  3  0 97  0  0	
 1  0  15692 57248324 219144 424348    0    0     0     0 3015 2421  3  0 97  0  0	
 1  0  15692 57145744 219144 424348    0    0     0     0 3080 2503  3  0 97  0  0	
 3  0  15692 57045272 219144 424348    0    0     0     0 3003 2399  3  0 97  0  0	
 1  0  15692 56952980 219144 424348    0    0     0     0 3133 2603  3  0 97  0  0	
 3  0  15692 56850456 219144 424348    0    0     0     0 3011 2411  3  0 97  0  0	
 2  0  15692 56758048 219144 424348    0    0     0     0 3098 2553  3  0 97  0  0	
 1  0  15692 56655524 219144 424348    0    0     0     0 3015 2405  3  0 97  0  0	
 1  0  15692 56559012 219144 424348    0    0     0     0 3063 2487  3  0 97  0  0	
 1  0  15692 56458412 219144 424348    0    0     0     0 3015 2412  3  0 97  0  0	
 2  0  15692 56366128 219144 424352    0    0     0    48 3082 2512  3  0 97  0  0	
 1  0  15692 56265528 219144 424352    0    0     0     0 3052 2442  3  0 97  0  0	
 2  0  15692 56173272 219144 424356    0    0     0     0 3108 2565  3  0 97  0  0	
 1  0  15692 56072672 219144 424356    0    0     0     0 2997 2387  3  0 97  0  0	
 1  0  15692 55978340 219144 424356    0    0     0     0 3106 2518  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  15692 55873644 219144 424356    0    0     0     0 3002 2393  3  0 97  0  0	
 1  0  15692 55779304 219144 424360    0    0     0     0 3121 2621  3  0 97  0  0	
 1  0  15692 55680752 219144 424360    0    0     0     0 3059 2484  3  0 97  0  0	
 1  0  15692 55588468 219144 424360    0    0     0     0 3067 2493  3  0 97  0  0	
 1  0  15692 55491964 219144 424360    0    0     0    12 3018 2426  3  0 97  0  0	
 2  0  15692 55395732 219144 424360    0    0     0     0 3058 2485  3  0 97  0  0	
 1  0  15692 55288988 219144 424360    0    0     0     0 3001 2399  3  0 97  0  0	
 2  0  15692 55198752 219144 424360    0    0     0     0 3065 2492  3  0 97  0  0	
 1  0  15692 55096104 219144 424360    0    0     0     0 3016 2408  3  0 97  0  0	
 1  0  15692 55012004 219144 424360    0    0     0     0 3109 2564  3  0 97  0  0	
 3  0  15692 54909356 219144 424360    0    0     0     0 2997 2385  3  0 97  0  0	
 1  0  15692 54810804 219144 424360    0    0     0     0 3100 2535  3  0 97  0  0	
