procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 64584728 207900 421680    0    0     0     1    0    0 30  1 69  0  0	
 1  0  15744 64541108 207900 421676    0    0     0     0 2113 2218  3  0 97  0  0	
 1  0  15744 64541512 207900 421364    0    0     0     0 2075 2270  3  0 97  0  0	
 1  0  15744 64541516 207900 421368    0    0     0     0 2046 2211  3  0 97  0  0	
 1  0  15744 64541756 207900 421372    0    0     0     0 2085 2314  3  0 97  0  0	
 1  0  15744 64541760 207900 421372    0    0     0     4 2025 2207  3  0 97  0  0	
 1  0  15744 64541760 207900 421372    0    0     0   100 2105 2295  3  0 97  0  0	
 1  0  15744 64541940 207900 421380    0    0     0     0 2078 2233  3  0 97  0  0	
 1  0  15744 64542192 207900 421380    0    0     0     0 3271 2858  3  0 97  0  0	
 1  0  15744 64542440 207900 421388    0    0     0     0 3194 2707  3  0 97  0  0	
 1  0  15744 64542440 207900 421388    0    0     0     0 3109 2548  3  0 97  0  0	
 1  0  15744 64542440 207900 421392    0    0     0     0 2950 2345  3  0 97  0  0	
 1  0  15744 64543040 207900 421392    0    0     0     0 2995 2411  3  0 97  0  0	
 1  0  15744 64543044 207900 421396    0    0     0     0 3031 2401  3  0 97  0  0	
 1  0  15744 64543168 207900 421396    0    0     0    16 3029 2429  3  0 96  1  0	
 2  0  15744 64543524 207900 421408    0    0     0     0 3028 2414  3  0 97  0  0	
 1  0  15744 64543792 207900 421408    0    0     0     0 3061 2496  3  0 97  0  0	
 1  0  15744 64543908 207900 421412    0    0     0     0 3016 2403  3  0 97  0  0	
 1  0  15744 64544148 207900 421416    0    0     0     0 3045 2424  3  0 97  0  0	
 1  0  15744 64544148 207900 421424    0    0     0     0 3015 2383  3  0 97  0  0	
 1  0  15744 64544280 207900 421424    0    0     0    16 3042 2430  3  0 96  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 64544528 207900 421428    0    0     0     0 3200 2806  3  0 97  0  0	
 1  0  15744 64544652 207900 421428    0    0     0     0 3128 2615  3  0 97  0  0	
 1  0  15744 64544776 207900 421436    0    0     0     0 3029 2379  3  0 97  0  0	
 1  0  15744 64544848 207900 421436    0    0     0     0 3050 2423  3  0 97  0  0	
 1  0  15744 64544848 207900 421444    0    0     0     0 3026 2395  3  0 97  0  0	
 1  0  15744 64544964 207900 421444    0    0     0    16 3026 2427  3  0 96  1  0	
 1  0  15744 64545164 207900 421448    0    0     0     0 3019 2383  3  0 97  0  0	
 1  0  15744 64545304 207900 421448    0    0     0     0 3054 2484  3  0 97  0  0	
 1  0  15744 64545304 207900 421452    0    0     0     0 2990 2353  3  0 97  0  0	
 1  0  15744 64545428 207900 421452    0    0     0    84 3185 2757  3  0 97  0  0	
 1  0  15744 64545428 207900 421460    0    0     0     0 3269 3000  3  0 97  0  0	
