procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  15744 64591476 207900 421460    0    0     0     1    0    0 30  1 69  0  0	
 2  0  15744 64403836 207900 421468    0    0     0     0 3658 3543  3  0 97  0  0	
 3  0  15744 64403956 207900 421480    0    0     0     0 3766 4004  3  0 97  0  0	
 2  0  15744 64403708 207900 421480    0    0     0     8 2994 2388  3  0 97  0  0	
 3  0  15744 64403956 207900 421484    0    0     0     0 3482 3349  3  0 97  0  0	
 3  0  15744 64403956 207900 421488    0    0     0     0 3837 4038  3  0 97  0  0	
 3  0  15744 64404260 207900 421492    0    0     0    24 3276 2984  3  0 96  1  0	
 3  0  15744 64404604 207900 421492    0    0     0     0 2950 2355  3  0 97  0  0	
 2  0  15744 64404852 207900 421496    0    0     0     0 3014 2474  3  0 97  0  0	
 1  0  15744 64405000 207900 421500    0    0     0     0 2954 2361  3  0 97  0  0	
 1  0  15744 64405124 207900 421500    0    0     0     0 3016 2421  3  0 97  0  0	
 2  0  15744 64405124 207900 421508    0    0     0     0 3031 2395  3  0 97  0  0	
 2  0  15744 64405196 207900 421508    0    0     0     0 3054 2457  3  0 97  0  0	
 1  0  15744 64405312 207900 421516    0    0     0     0 3018 2390  3  0 97  0  0	
 1  0  15744 64405444 207900 421516    0    0     0     0 3035 2431  3  0 97  0  0	
 1  0  15744 64405568 207900 421520    0    0     0     0 3014 2380  3  0 97  0  0	
 1  0  15744 64405956 207900 421524    0    0     0     0 3035 2425  3  0 97  0  0	
 1  0  15744 64405956 207900 421524    0    0     0     0 3010 2370  3  0 97  0  0	
 1  0  15744 64405956 207900 421524    0    0     0    16 3026 2419  3  0 96  1  0	
 1  0  15744 64406044 207900 421540    0    0     0     0 3003 2363  3  0 97  0  0	
 1  0  15744 64406048 207900 421540    0    0     0     0 3080 2490  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 64406144 207900 421544    0    0     0     0 3011 2390  3  0 97  0  0	
 2  0  15744 64406144 207900 421544    0    0     0     0 3033 2416  3  0 97  0  0	
 1  0  15744 64406144 207900 421552    0    0     0     0 3009 2371  3  0 97  0  0	
 2  0  15744 64406144 207900 421552    0    0     0     0 3058 2433  3  0 97  0  0	
 1  0  15744 64406144 207900 421556    0    0     0     0 3043 2387  3  0 97  0  0	
 1  0  15744 64406136 207900 421560    0    0     0     0 3034 2416  3  0 97  0  0	
 2  0  15744 64406136 207900 421564    0    0     0     0 3002 2354  3  0 97  0  0	
 1  0  15744 64406144 207900 421564    0    0     0     0 3014 2408  3  0 97  0  0	
 1  0  15744 64406144 207900 421568    0    0     0    20 3008 2385  3  0 96  1  0	
 2  0  15744 64406144 207900 421568    0    0     0     0 3023 2423  3  0 97  0  0	
 1  0  15744 64406136 207900 421576    0    0     0     0 3033 2384  3  0 97  0  0	
 1  0  15744 64406136 207900 421576    0    0     0     0 3058 2493  3  0 97  0  0	
 2  0  15744 64406012 207900 421584    0    0     0    16 3001 2379  3  0 97  0  0	
 1  0  15744 64406012 207900 421584    0    0     0     0 3049 2417  3  0 97  0  0	
 1  0  15744 64406012 207900 421588    0    0     0     0 3047 2395  3  0 97  0  0	
 1  0  15744 64406012 207900 421588    0    0     0     0 3034 2420  3  0 97  0  0	
 1  0  15744 64406012 207900 421596    0    0     0     0 3012 2381  3  0 97  0  0	
 1  0  15744 64406012 207900 421596    0    0     0     0 3050 2444  3  0 97  0  0	
 1  0  15744 64406020 207900 421608    0    0     0     0 3052 2412  3  0 97  0  0	
 1  0  15744 64406020 207900 421608    0    0     0     0 3050 2460  3  0 97  0  0	
 1  0  15744 64406020 207900 421616    0    0     0     0 3023 2396  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 64406020 207900 421616    0    0     0     0 3027 2430  3  0 97  0  0	
 2  0  15744 64406020 207900 421620    0    0     0    16 3022 2398  3  0 96  1  0	
 1  0  15744 64406020 207900 421624    0    0     0     0 3055 2484  3  0 97  0  0	
 1  0  15744 64406020 207900 421628    0    0     0     0 2999 2367  3  0 97  0  0	
