procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  15744 64571376 207900 421888    0    0     0     1    0    0 30  1 69  0  0	
 1  0  15744 64149172 207900 421892    0    0     0     0 2182 2248  3  0 97  0  0	
 3  0  15744 64027984 207900 421908    0    0     0     0 2065 2251  3  0 97  0  0	
 1  0  15744 63915096 207900 421908    0    0     0     0 2040 2210  3  0 97  0  0	
 1  0  15744 63816740 207900 421916    0    0     0     0 2061 2244  3  0 97  0  0	
 2  0  15744 63816740 207900 421920    0    0     0    20 2047 2228  3  0 96  1  0	
 1  0  15744 63816864 207900 421920    0    0     0     0 2070 2256  3  0 97  0  0	
 1  0  15744 63817236 207900 421928    0    0     0     0 2078 2288  3  0 97  0  0	
 3  0  15744 63817344 207900 421928    0    0     0     0 2068 2252  3  0 97  0  0	
 1  0  15744 63817344 207900 421932    0    0     0     0 2032 2232  3  0 97  0  0	
 1  0  15744 63817344 207900 421932    0    0     0     0 2074 2255  3  0 97  0  0	
 2  0  15744 63817344 207900 421936    0    0     0     0 2027 2203  3  0 97  0  0	
 3  0  15744 63817600 207900 421940    0    0     0     0 2069 2270  3  0 97  0  0	
 1  0  15744 63817848 207900 421940    0    0     0     0 2045 2217  3  0 97  0  0	
 1  0  15744 63817848 207900 421944    0    0     0     0 2076 2250  3  0 97  0  0	
 2  0  15744 63817848 207900 421948    0    0     0     0 2045 2205  3  0 97  0  0	
 1  0  15744 63817848 207900 421952    0    0     0     0 2071 2260  3  0 97  0  0	
 1  0  15744 63817848 207900 421956    0    0     0     0 2026 2209  3  0 97  0  0	
 2  0  15744 63818096 207900 421960    0    0     0     0 2084 2262  3  0 97  0  0	
 1  0  15744 63818204 207900 421972    0    0     0     0 2069 2294  3  0 97  0  0	
 2  0  15744 63818204 207900 421972    0    0     0     0 2082 2257  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  15744 63818212 207900 421976    0    0     0     0 2032 2202  3  0 97  0  0	
 1  0  15744 63818088 207900 421976    0    0     0     0 2093 2268  3  0 97  0  0	
 1  0  15744 63818088 207900 421984    0    0     0     0 2046 2224  3  0 97  0  0	
 3  0  15744 63818212 207900 421984    0    0     0     0 2058 2252  3  0 97  0  0	
 1  0  15744 63818204 207900 421988    0    0     0     0 2039 2215  3  0 97  0  0	
 1  0  15744 63818220 207900 421988    0    0     0     0 2056 2240  3  0 97  0  0	
 2  0  15744 63818220 207900 421992    0    0     0    16 2043 2239  3  0 97  0  0	
 1  0  15744 63818220 207900 421992    0    0     0     0 2076 2258  3  0 97  0  0	
 1  0  15744 63818220 207900 421996    0    0     0     0 2032 2219  3  0 97  0  0	
 3  0  15744 63818344 207900 422000    0    0     0     0 2091 2269  3  0 97  0  0	
 1  0  15744 63818344 207900 422004    0    0     0     0 2049 2261  3  0 97  0  0	
 1  0  15744 63818344 207900 422004    0    0     0     0 2063 2263  3  0 97  0  0	
 2  0  15744 63818344 207900 422008    0    0     0     0 2083 2261  3  0 97  0  0	
 1  0  15744 63818344 207900 422012    0    0     0     0 2090 2259  3  0 97  0  0	
 1  0  15744 63818344 207900 422016    0    0     0     0 2033 2218  3  0 97  0  0	
 3  0  15744 63818304 207900 422020    0    0     0     0 2079 2272  3  0 97  0  0	
 2  0  15744 63818304 207900 422028    0    0     0     0 2040 2212  3  0 97  0  0	
 1  0  15744 63818304 207900 422028    0    0     0     0 2102 2267  3  0 97  0  0	
 1  0  15744 63818304 207900 422036    0    0     0     0 2031 2212  3  0 97  0  0	
 3  0  15744 63818304 207900 422036    0    0     0     0 2065 2250  3  0 97  0  0	
 1  0  15744 63818304 207900 422044    0    0     0     0 2025 2209  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 63818304 207900 422044    0    0     0     0 2073 2262  3  0 97  0  0	
 2  0  15744 63818056 207900 422052    0    0     0     0 2076 2297  3  0 97  0  0	
 1  0  15744 63818064 207900 422052    0    0     0     0 2061 2268  3  0 97  0  0	
 1  0  15744 63818064 207900 422056    0    0     0     0 2033 2206  3  0 97  0  0	
 3  0  15744 63818064 207900 422060    0    0     0     0 2065 2253  3  0 97  0  0	
 1  0  15744 63817924 207900 422064    0    0     0     0 2043 2212  3  0 97  0  0	
 1  0  15744 63817924 207900 422064    0    0     0     0 2065 2261  3  0 97  0  0	
 2  0  15744 63817924 207900 422068    0    0     0     0 2032 2207  3  0 97  0  0	
 1  0  15744 63817924 207900 422072    0    0     0     0 2090 2265  3  0 97  0  0	
 1  0  15744 63817924 207900 422076    0    0     0     0 2032 2220  3  0 97  0  0	
 3  0  15744 63818056 207900 422076    0    0     0     0 2080 2267  3  0 97  0  0	
 1  0  15744 63818056 207900 422084    0    0     0     0 2039 2221  3  0 97  0  0	
 1  0  15744 63818056 207900 422088    0    0     0     0 2073 2257  3  0 97  0  0	
 2  0  15744 63818056 207900 422092    0    0     0     0 2071 2276  3  0 97  0  0	
 3  0  15744 63818056 207900 422092    0    0     0     0 2060 2252  3  0 97  0  0	
 1  0  15744 63818056 207900 422092    0    0     0     0 2031 2218  3  0 97  0  0	
 1  0  15744 63818056 207900 422104    0    0     0     0 2066 2261  3  0 97  0  0	
 2  0  15744 63818056 207900 422108    0    0     0     0 2032 2209  3  0 97  0  0	
 1  0  15744 63818056 207900 422108    0    0     0     0 2069 2253  3  0 97  0  0	
 1  0  15744 63818056 207900 422112    0    0     0     0 2052 2229  3  0 97  0  0	
 3  0  15744 63818056 207900 422116    0    0     0     4 2071 2265  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  15744 63818056 207900 422116    0    0     0     0 2059 2227  3  0 97  0  0	
 1  0  15744 63817924 207900 422120    0    0     0     0 2079 2270  3  0 97  0  0	
 2  0  15744 63817924 207900 422124    0    0     0     0 2030 2200  3  0 97  0  0	
 1  0  15744 63817932 207900 422128    0    0     0     0 2084 2270  3  0 97  0  0	
 1  0  15744 63817924 207900 422128    0    0     0     0 2069 2285  3  0 97  0  0	
 3  0  15744 63817924 207900 422132    0    0     0     0 2072 2255  3  0 97  0  0	
 1  0  15744 63817924 207900 422140    0    0     0     0 2057 2233  3  0 97  0  0	
 1  0  15744 63817924 207900 422140    0    0     0    16 2096 2284  3  0 96  1  0	
 2  0  15744 63817924 207900 422144    0    0     0     0 2023 2187  3  0 97  0  0	
 1  0  15744 63817800 207900 422148    0    0     0     0 2064 2257  3  0 97  0  0	
 1  0  15744 63817800 207900 422152    0    0     0     0 2040 2214  3  0 97  0  0	
 1  0  15744 63817800 207900 422152    0    0     0     0 2069 2269  3  0 97  0  0	
 2  0  15744 63817800 207900 422160    0    0     0     0 2052 2232  3  0 97  0  0	
 1  0  15744 63817800 207900 422160    0    0     0     0 2071 2270  3  0 97  0  0	
 1  0  15744 63817800 207900 422168    0    0     0     0 2048 2227  3  0 97  0  0	
 3  0  15744 63817800 207900 422168    0    0     0     0 2101 2286  3  0 97  0  0	
 1  0  15744 63817800 207900 422172    0    0     0     0 2054 2272  3  0 97  0  0	
