Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/20/20 	_x86_64_	(32 CPU)

18:52:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:52:17     all    3.10    0.00    0.09    0.00    0.00    0.00    0.00    0.00   96.81
18:52:17       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
18:52:17       1    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:52:17       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:52:17      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
