Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/20/20 	_x86_64_	(32 CPU)

18:54:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:54:31     all    2.72    0.00    0.44    0.59    0.00    0.00    0.00    0.00   96.24
18:54:31       0    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
18:54:31       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:54:31       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      12    0.00    0.00    0.00   19.00    0.00    0.00    0.00    0.00   81.00
18:54:31      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      26   88.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00
18:54:31      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:31      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:54:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:54:32     all    3.13    0.00    0.09    0.00    0.00    0.00    0.00    0.00   96.77
18:54:32       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
18:54:32       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:54:32       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      26   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
18:54:32      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:54:32      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:54:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
