procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  11544 64156328 252520 755488    0    0     0     2    0    0 33  3 64  0  0	
 1  0  11544 63648904 252520 755928    0    0     0     0 3316 2752  3  0 97  0  0	
 2  0  11544 63129592 252520 755932    0    0     0     0 3191 2715  3  0 97  0  0	
 2  0  11544 63023252 252520 755656    0    0     0     0 3062 2464  3  0 97  0  0	
 2  0  11544 62527032 252520 755656    0    0     0     0 3120 2536  3  0 97  0  0	
 1  0  11544 62461372 252520 755656    0    0     0     4 3210 2760  3  0 97  0  0	
 1  0  11544 61966812 252520 755656    0    0     0    64 3150 2610  3  0 97  0  0	
 2  0  11544 61737308 252520 755656    0    0     0     0 3142 2630  3  0 97  0  0	
 1  0  11544 61354504 252520 755656    0    0     0     0 3246 2761  3  0 97  0  0	
 2  0  11544 60839468 252520 755656    0    0     0     0 3319 2965  3  0 97  0  0	
 2  0  11544 60774056 252520 755656    0    0     0     0 3157 2655  3  0 97  0  0	
 1  0  11544 60277448 252520 755656    0    0     0     0 3131 2594  3  0 97  0  0	
 2  0  11544 60211796 252520 755656    0    0     0     0 3321 2947  3  0 97  0  0	
 2  0  11544 59713840 252520 755656    0    0     0     0 3276 2905  3  0 97  0  0	
 1  0  11544 59484092 252520 755656    0    0     0     0 3237 2781  3  0 97  0  0	
 2  0  11544 59090132 252520 755656    0    0     0     0 3263 2866  3  0 97  0  0	
 1  0  11544 58591732 252520 755656    0    0     0     0 3238 2768  3  0 97  0  0	
 1  0  11544 58526072 252520 755656    0    0     0    12 3299 2942  3  0 96  1  0	
 1  0  11544 58027540 252520 755660    0    0     0     0 3084 2493  3  0 97  0  0	
 1  0  11544 57962096 252520 755664    0    0     0     0 3097 2481  3  0 97  0  0	
 1  0  11544 57470080 252520 755664    0    0     0    32 3063 2490  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  11544 57404544 252520 755664    0    0     0     0 3079 2483  3  0 97  0  0	
 1  0  11544 56906012 252520 755664    0    0     0     0 3048 2443  3  0 97  0  0	
 1  0  11544 56826140 252520 755664    0    0     0     0 3096 2537  3  0 97  0  0	
 2  0  11544 56319292 252520 755664    0    0     0     0 3152 2600  3  0 97  0  0	
 1  0  11544 55787868 252520 755664    0    0     0     4 3092 2543  3  0 97  0  0	
 1  0  11544 55714232 252520 755664    0    0     0     0 3079 2488  3  0 97  0  0	
 1  0  11544 55221720 252520 755664    0    0     0     0 3033 2464  3  0 97  0  0	
 1  0  11544 55158108 252520 755664    0    0     0     0 3056 2471  3  0 97  0  0	
 1  0  11544 54998536 252520 755664    0    0     0     0 3040 2455  3  0 97  0  0	
 1  0  11544 54990344 252520 755664    0    0     0    20 3057 2494  3  0 96  1  0	
 3  0  11544 54990360 252520 755664    0    0     0     0 3125 2619  3  0 97  0  0	
 1  0  11544 54990476 252520 755664    0    0     0     0 3057 2489  3  0 97  0  0	
 3  0  11544 54990476 252520 755664    0    0     0     0 3057 2472  3  0 97  0  0	
 1  0  11544 54990476 252520 755664    0    0     0     0 3047 2446  3  0 97  0  0	
 2  0  11544 54990476 252520 755664    0    0     0     0 3032 2445  3  0 97  0  0	
 1  0  11544 54990476 252520 755664    0    0     0     0 3020 2400  3  0 97  0  0	
 1  0  11544 54990476 252520 755668    0    0     0     0 3019 2426  3  0 97  0  0	
 3  0  11544 54990584 252520 755668    0    0     0     0 3062 2423  3  0 97  0  0	
 1  0  11544 54990584 252520 755672    0    0     0     0 3024 2416  3  0 97  0  0	
 2  0  11544 54990584 252520 755672    0    0     0    40 3050 2444  3  0 97  0  0	
 1  0  11544 54990592 252520 755672    0    0     0     0 3087 2501  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  11544 54990592 252520 755672    0    0     0     0 3067 2484  3  0 97  0  0	
 1  0  11544 54990592 252520 755672    0    0     0     0 3007 2443  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2972 2418  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2973 2400  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2946 2372  3  0 97  0  0	
 3  0  11544 54990600 252520 755676    0    0     0     0 2964 2401  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2974 2384  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2973 2379  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 2997 2392  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 3015 2413  3  0 97  0  0	
 2  0  11544 54990600 252520 755676    0    0     0     0 3011 2392  3  0 97  0  0	
 1  0  11544 54990600 252520 755676    0    0     0     0 3011 2410  3  0 97  0  0	
 2  0  11544 54990600 252520 755676    0    0     0     0 3018 2393  3  0 97  0  0	
 1  0  11544 54990592 252520 755680    0    0     0     0 3111 2616  3  0 97  0  0	
 1  0  11544 54990600 252520 755680    0    0     0     0 3502 3442  3  0 97  0  0	
 1  0  11544 54990600 252520 755680    0    0     0     0 3788 3998  3  0 97  0  0	
 1  0  11544 54990600 252520 755680    0    0     0     0 3756 3962  3  0 97  0  0	
 1  0  11544 54990600 252520 755684    0    0     0     0 3179 2788  3  0 97  0  0	
