procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  12844 63801092 231632 637588    0    0     0     2    0    0 39  2 59  0  0	
 3  0  12844 63763632 231632 637572    0    0     0     0 3549 3393  3  0 97  0  0	
 3  0  12844 63763724 231632 637272    0    0     0     0 3334 3047  3  0 97  0  0	
 1  0  12844 63763716 231632 637276    0    0     0     0 3055 2434  3  0 97  0  0	
 1  0  12844 63763840 231632 637280    0    0     0     0 3053 2457  3  0 97  0  0	
 2  0  12844 63763840 231632 637280    0    0     0     0 3035 2414  3  0 97  0  0	
 1  0  12844 63763840 231632 637284    0    0     0    64 3059 2463  3  0 96  1  0	
 1  0  12844 63764384 231632 637284    0    0     0     0 3061 2438  3  0 97  0  0	
 2  0  12844 63764800 231632 637292    0    0     0     0 3625 3707  3  0 97  0  0	
 1  0  12844 63764800 231632 637292    0    0     0     4 3491 3433  3  0 97  0  0	
 1  0  12844 63764924 231632 637296    0    0     0     0 3393 3253  3  0 97  0  0	
 3  0  12844 63765064 231632 637296    0    0     0     0 3671 3815  3  0 97  0  0	
 1  0  12844 63765584 231632 637304    0    0     0     0 3455 3366  3  0 97  0  0	
 1  0  12844 63765904 231632 637304    0    0     0    24 2987 2494  3  0 96  1  0	
 2  0  12844 63766144 231632 637308    0    0     0     0 3011 2401  3  0 97  0  0	
 1  0  12844 63766276 231632 637308    0    0     0     0 3519 3474  3  0 97  0  0	
 1  0  12844 63766400 231632 637316    0    0     0     0 3162 2728  3  0 97  0  0	
 1  0  12844 63766400 231632 637316    0    0     0     0 3578 3565  3  0 97  0  0	
 1  0  12844 63766524 231632 637324    0    0     0     0 3681 3824  3  0 97  0  0	
 1  0  12844 63766668 231632 637332    0    0     0    16 2996 2388  3  0 96  1  0	
 1  0  12844 63766816 231632 637336    0    0     0     0 2948 2381  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63766816 231632 637336    0    0     0     0 3679 3845  3  0 97  0  0	
 1  0  12844 63766932 231632 637340    0    0     0     0 3807 4055  3  0 97  0  0	
 1  0  12844 63766800 231632 637340    0    0     0     0 3774 3994  3  0 97  0  0	
 2  0  12844 63766808 231632 637348    0    0     0    44 3389 3131  3  0 97  0  0	
 1  0  12844 63766808 231632 637348    0    0     0    20 3008 2385  3  0 97  0  0	
