procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63804476 231632 637352    0    0     0     2    0    0 39  2 59  0  0	
 1  0  12844 63651080 231632 637368    0    0     0     0 3124 2457  3  0 97  0  0	
 3  0  12844 63650832 231632 637368    0    0     0     0 3177 2712  3  0 97  0  0	
 1  0  12844 63650832 231632 637380    0    0     0     0 3470 3401  3  0 97  0  0	
 1  0  12844 63650840 231632 637380    0    0     0     0 3493 3378  3  0 97  0  0	
 2  0  12844 63650840 231632 637384    0    0     0    20 3077 2488  3  0 96  1  0	
 1  0  12844 63650996 231632 637384    0    0     0     0 3541 3535  3  0 97  0  0	
 1  0  12844 63651328 231632 637392    0    0     0     0 3471 3380  3  0 97  0  0	
 3  0  12844 63651572 231632 637392    0    0     0     0 3508 3431  3  0 97  0  0	
 1  0  12844 63651616 231632 637392    0    0     0     0 3490 3438  3  0 97  0  0	
 1  0  12844 63651756 231632 637392    0    0     0     0 3598 3636  3  0 97  0  0	
 3  0  12844 63651756 231632 637404    0    0     0     0 3498 3478  3  0 97  0  0	
 1  0  12844 63651764 231632 637404    0    0     0     0 3556 3521  3  0 97  0  0	
 1  0  12844 63651836 231632 637408    0    0     0     0 3516 3461  3  0 97  0  0	
 3  0  12844 63651924 231632 637408    0    0     0    16 3345 3080  3  0 96  0  0	
 1  0  12844 63651800 231632 637416    0    0     0    20 3371 3178  3  0 97  0  0	
 1  0  12844 63651800 231632 637416    0    0     0     0 3433 3315  3  0 97  0  0	
 1  0  12844 63651800 231632 637416    0    0     0     0 2959 2360  3  0 97  0  0	
 3  0  12844 63651792 231632 637416    0    0     0     0 3017 2411  3  0 97  0  0	
 1  0  12844 63651792 231632 637436    0    0     0     0 3018 2400  3  0 97  0  0	
 1  0  12844 63651792 231632 637436    0    0     0     0 3028 2396  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63651784 231632 637436    0    0     0     0 3011 2382  3  0 97  0  0	
 1  0  12844 63651908 231632 637436    0    0     0     0 3069 2482  3  0 97  0  0	
 1  0  12844 63651916 231632 637448    0    0     0    16 2999 2376  3  0 96  1  0	
 2  0  12844 63651916 231632 637448    0    0     0     0 3028 2397  3  0 97  0  0	
 1  0  12844 63651916 231632 637452    0    0     0     0 3000 2365  3  0 97  0  0	
 1  0  12844 63651924 231632 637452    0    0     0     0 3145 2570  3  0 97  0  0	
 2  0  12844 63651924 231632 637456    0    0     0     0 3455 3347  3  0 97  0  0	
 1  0  12844 63651784 231632 637456    0    0     0     0 3511 3445  3  0 97  0  0	
 1  0  12844 63651912 231632 637460    0    0     0     0 3460 3392  3  0 97  0  0	
 3  0  12844 63651912 231632 637460    0    0     0     0 3509 3462  3  0 97  0  0	
 1  0  12844 63651912 231632 637468    0    0     0     0 3485 3377  3  0 97  0  0	
 1  0  12844 63651908 231632 637468    0    0     0    16 3587 3616  3  0 96  1  0	
 2  0  12844 63651908 231632 637472    0    0     0     0 3561 3594  3  0 97  0  0	
 1  0  12844 63651924 231632 637472    0    0     0     0 3314 3038  3  0 97  0  0	
 1  0  12844 63651924 231632 637480    0    0     0     0 3466 3385  3  0 97  0  0	
 3  0  12844 63651924 231632 637480    0    0     0     0 3434 3275  3  0 97  0  0	
 1  0  12844 63651924 231632 637492    0    0     0     0 3419 3271  3  0 97  0  0	
 1  0  12844 63651916 231632 637492    0    0     0     0 3004 2419  3  0 97  0  0	
 1  0  12844 63651924 231632 637500    0    0     0     0 3496 3455  3  0 97  0  0	
 2  0  12844 63651924 231632 637500    0    0     0     0 3543 3531  3  0 97  0  0	
 1  0  12844 63651924 231632 637504    0    0     0    16 3110 2698  3  0 96  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  12844 63651924 231632 637504    0    0     0     0 3331 3103  3  0 97  0  0	
 1  0  12844 63651924 231632 637516    0    0     0     0 3407 3252  3  0 97  0  0	
 1  0  12844 63651932 231632 637516    0    0     0     4 3013 2411  3  0 97  0  0	
 2  0  12844 63651932 231632 637520    0    0     0     0 3020 2413  3  0 97  0  0	
 3  0  12844 63651932 231632 637520    0    0     0     0 3457 3357  3  0 97  0  0	
