procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12844 63803668 231632 637740    0    0     0     2    0    0 39  2 59  0  0	
 1  0  12844 63273912 231632 637748    0    0     0    20 3751 3715  3  0 96  1  0	
 3  0  12844 63205600 231632 637752    0    0     0     0 3831 4144  3  0 97  0  0	
 2  0  12844 63205608 231632 637756    0    0     0     0 3828 4103  3  0 97  0  0	
 1  0  12844 63205604 231632 637756    0    0     0     0 3580 3599  3  0 97  0  0	
 1  0  12844 63205604 231632 637760    0    0     0     0 3778 4015  3  0 97  0  0	
 1  0  12844 63205736 231632 637760    0    0     0     0 3348 3119  3  0 97  0  0	
 3  0  12844 63205820 231632 637768    0    0     0     0 3475 3380  3  0 97  0  0	
 1  0  12844 63205936 231632 637768    0    0     0     0 3513 3496  3  0 97  0  0	
 2  0  12844 63206036 231632 637772    0    0     0     0 3425 3283  3  0 97  0  0	
 2  0  12844 63206192 231632 637772    0    0     0    20 3414 3292  3  0 96  1  0	
 1  0  12844 63206204 231632 637780    0    0     0     8 3521 3506  3  0 97  0  0	
 1  0  12844 63206312 231632 637784    0    0     0     0 3583 3642  3  0 97  0  0	
 1  0  12844 63206464 231632 637784    0    0     0     0 3375 3209  3  0 97  0  0	
 1  0  12844 63206464 231632 637788    0    0     0     0 3281 2886  3  0 97  0  0	
 3  0  12844 63206464 231632 637792    0    0     0     0 3199 2760  3  0 97  0  0	
 1  0  12844 63206472 231632 637796    0    0     0     0 3318 2983  3  0 97  0  0	
 2  0  12844 63206472 231632 637796    0    0     0     0 3293 2918  3  0 97  0  0	
 1  0  12844 63206472 231632 637800    0    0     0     0 3206 2767  3  0 97  0  0	
 1  0  12844 63206464 231632 637808    0    0     0     0 3215 2772  3  0 97  0  0	
 3  0  12844 63206464 231632 637812    0    0     0     0 3241 2825  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 63206464 231632 637812    0    0     0     0 3311 2982  3  0 97  0  0	
 1  0  12844 63206464 231632 637816    0    0     0     0 3236 2827  3  0 97  0  0	
 1  0  12844 63206464 231632 637820    0    0     0     0 3219 2776  3  0 97  0  0	
 1  0  12844 63206464 231632 637824    0    0     0     0 3233 2804  3  0 97  0  0	
 1  0  12844 63206464 231632 637824    0    0     0     0 3314 2984  3  0 97  0  0	
 1  0  12844 63206472 231632 637828    0    0     0     0 3467 3278  3  0 97  0  0	
 1  0  12844 63206472 231632 637832    0    0     0     0 3245 2861  3  0 97  0  0	
 2  0  12844 63206464 231632 637832    0    0     0     0 3257 2859  3  0 97  0  0	
 1  0  12844 63206456 231632 637836    0    0     0     0 3286 2883  3  0 97  0  0	
 1  0  12844 63206588 231632 637840    0    0     0     0 3282 2891  3  0 97  0  0	
 1  0  12844 63206588 231632 637844    0    0     0     0 3350 3025  3  0 97  0  0	
 2  0  12844 63206588 231632 637844    0    0     0    16 3082 2528  3  0 96  1  0	
 1  0  12844 63206588 231632 637848    0    0     0     0 3064 2470  3  0 97  0  0	
 1  0  12844 63206580 231632 637852    0    0     0     0 3034 2441  3  0 97  0  0	
 1  0  12844 63206580 231632 637856    0    0     0     0 3014 2390  3  0 97  0  0	
 1  0  12844 63206580 231632 637856    0    0     0     0 3024 2414  3  0 97  0  0	
 1  0  12844 63206580 231632 637860    0    0     0     0 3013 2397  3  0 97  0  0	
 1  0  12844 63206588 231632 637864    0    0     0     0 3034 2423  3  0 97  0  0	
 1  0  12844 63206580 231632 637872    0    0     0     0 3036 2416  3  0 97  0  0	
 2  0  12844 63206572 231632 637872    0    0     0     0 3032 2436  3  0 97  0  0	
 1  0  12844 63206572 231632 637876    0    0     0     0 3014 2402  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
