Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:17:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:41     all    2.78    0.00    0.41    0.03    0.00    0.00    0.00    0.00   96.78
19:17:41       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
19:17:41       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      19   89.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:41      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:41      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
