Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:17:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:43     all    2.78    0.00    0.47    0.00    0.00    0.03    0.00    0.00   96.72
19:17:43       0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
19:17:43       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43       8    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
19:17:43       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      19   87.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    1.00
19:17:43      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      22    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
19:17:43      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      26    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
19:17:43      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:43      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:17:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:44     all    3.13    0.00    0.03    0.00    0.00    0.00    0.00    0.00   96.84
