Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-14.local) 	04/20/20 	_x86_64_	(32 CPU)

19:17:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:49     all    1.56    0.00    1.60    0.00    0.00    0.00    0.00    0.00   96.84
19:17:49       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
19:17:49       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       3    9.90    0.00   35.64    0.00    0.00    0.00    0.00    0.00   54.46
19:17:49       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49       8   41.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00   45.00
19:17:49       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
19:17:49      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:49      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

19:17:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
19:17:50     all    2.35    0.00    0.85    0.00    0.00    0.00    0.00    0.00   96.81
19:17:50       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
19:17:50       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       6    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
19:17:50       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50       8   75.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00
19:17:50       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
19:17:50      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
