procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 64308732 214468 655176    0    0     0     1    0    0 38  2 60  0  0	
 8  0      0 62178292 214468 655180    0    0     0    44 3331 2794  2  2 97  0  0	
 2  0      0 60988124 214468 655192    0    0     0     0 3211 2773  2  1 97  0  0	
 1  0      0 60810772 214468 655204    0    0     0    12 3331 3116  3  0 97  0  0	
 2  0      0 60810896 214468 655204    0    0     0     0 3233 2854  3  0 97  0  0	
 1  0      0 60811216 214468 655208    0    0     0     0 3036 2443  3  0 97  0  0	
 1  0      0 60811712 214468 655208    0    0     0     0 3111 2561  3  0 97  0  0	
 1  0      0 60811876 214468 655212    0    0     0     0 3298 3001  3  0 97  0  0	
 1  0      0 60812012 214468 655212    0    0     0     0 3180 2659  3  0 97  0  0	
 1  0      0 60812268 214468 655216    0    0     0     0 2994 2390  3  0 97  0  0	
 2  0      0 60812516 214468 655216    0    0     0     0 2992 2401  3  0 97  0  0	
 1  0      0 60812912 214468 655224    0    0     0    12 2928 2362  3  0 97  0  0	
 1  0      0 60812904 214468 655224    0    0     0     0 3043 2461  3  0 97  0  0	
 3  0      0 60813184 214468 655232    0    0     0     0 3058 2480  3  0 97  0  0	
 1  0      0 60813420 214468 655232    0    0     0     0 3083 2492  3  0 97  0  0	
 1  0      0 60813676 214468 655236    0    0     0     0 3087 2511  3  0 97  0  0	
 2  0      0 60813884 214468 655236    0    0     0    32 3101 2530  3  0 97  0  0	
 2  0      0 60814096 214468 655240    0    0     0     0 3080 2542  3  0 97  0  0	
 1  0      0 60814096 214468 655244    0    0     0     0 3131 2540  3  0 97  0  0	
 3  0      0 60814468 214468 655256    0    0     0    28 3042 2458  3  0 97  0  0	
 1  0      0 60814716 214468 655256    0    0     0     0 3079 2493  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 60814724 214468 655260    0    0     0     0 3066 2513  3  0 97  0  0	
 1  0      0 60814848 214468 655260    0    0     0     0 3070 2484  3  0 97  0  0	
 3  0      0 60814848 214468 655268    0    0     0     0 2993 2370  3  0 97  0  0	
 1  0      0 60814848 214468 655268    0    0     0     0 3070 2493  3  0 97  0  0	
 1  0      0 60815144 214468 655272    0    0     0     0 3072 2471  3  0 97  0  0	
 2  0      0 60815196 214468 655272    0    0     0    40 3166 2659  3  0 97  0  0	
 1  0      0 60815348 214468 655280    0    0     0     0 3031 2446  3  0 97  0  0	
 1  0      0 60815348 214468 655280    0    0     0     0 3024 2401  3  0 97  0  0	
 3  0      0 60815348 214468 655284    0    0     0    16 3034 2461  3  0 97  0  0	
 1  0      0 60815376 214468 655284    0    0     0     0 3035 2400  3  0 97  0  0	
 2  0      0 60815524 214468 655292    0    0     0     0 3027 2398  3  0 97  0  0	
 2  0      0 60815528 214468 655292    0    0     0     0 3027 2402  3  0 97  0  0	
 1  0      0 60815528 214468 655296    0    0     0     0 3008 2372  3  0 97  0  0	
 1  0      0 60815404 214468 655300    0    0     0     0 3037 2417  3  0 97  0  0	
 3  0      0 60815404 214468 655304    0    0     0     0 3012 2386  3  0 97  0  0	
 2  0      0 60815272 214468 655304    0    0     0    16 3287 2968  3  0 97  0  0	
 1  0      0 60815272 214468 655312    0    0     0     0 3863 4136  3  0 97  0  0	
 1  0      0 60815272 214468 655312    0    0     0     0 3561 3588  3  0 97  0  0	
 3  0      0 60815272 214468 655324    0    0     0    16 2989 2382  3  0 97  0  0	
 1  0      0 60815272 214468 655324    0    0     0     0 3057 2424  3  0 97  0  0	
 1  0      0 60815272 214468 655332    0    0     0     0 3023 2442  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 60815272 214468 655332    0    0     0     0 3039 2424  3  0 97  0  0	
 1  0      0 60815272 214468 655336    0    0     0     0 2998 2375  3  0 97  0  0	
 1  0      0 60815272 214468 655340    0    0     0     0 3039 2429  3  0 97  0  0	
 1  0      0 60815272 214468 655344    0    0     0     4 3032 2411  3  0 97  0  0	
