Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-3.local) 	04/19/20 	_x86_64_	(32 CPU)

12:11:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:11:04     all    3.11    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.83
12:11:04       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       3   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
12:11:04       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      11    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
12:11:04      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:04      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:11:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:11:06     all    3.13    0.00    0.05    0.00    0.00    0.00    0.00    0.00   96.83
12:11:06       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       1   19.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.60
12:11:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       3   80.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   19.50
12:11:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
12:11:06      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      19    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
12:11:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:06      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:11:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:11:08     all    3.13    0.00    0.06    0.23    0.00    0.00    0.00    0.00   96.57
12:11:08       0    0.00    0.00    0.00    7.18    0.00    0.00    0.00    0.00   92.82
12:11:08       1    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
12:11:08       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08       8   98.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.99
12:11:08       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
12:11:08      12    0.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00   99.50
12:11:08      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      16    0.00    0.00    0.51    0.00    0.00    0.00    0.00    0.00   99.49
12:11:08      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:08      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:11:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:11:10     all    3.13    0.00    0.09    0.00    0.00    0.00    0.00    0.00   96.78
12:11:10       0    0.00    0.00    1.51    0.00    0.00    0.00    0.00    0.00   98.49
12:11:10       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
