Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-3.local) 	04/19/20 	_x86_64_	(32 CPU)

12:11:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:11:24     all    3.06    0.00    0.14    0.00    0.00    0.00    0.00    0.00   96.80
12:11:24       0    0.00    0.00    1.51    0.00    0.00    0.00    0.00    0.00   98.49
12:11:24       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      10    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
12:11:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
12:11:24      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      20   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00
12:11:24      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:11:24      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
