Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/20/20 	_x86_64_	(32 CPU)

18:05:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:05:28     all    3.10    0.00    0.09    0.00    0.00    0.00    0.00    0.00   96.81
18:05:28       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:05:28       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       2    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:05:28       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      26   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:28      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:28      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:05:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:05:29     all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
18:05:29       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:05:29       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:29      27    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:05:29      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:29      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:05:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:05:30     all    3.13    0.00    0.13    0.00    0.00    0.03    0.00    0.00   96.72
18:05:30       0    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   97.96
18:05:30       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       2    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
18:05:30       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30      10    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:05:30      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:30      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
