Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/20/20 	_x86_64_	(32 CPU)

18:05:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:05:46     all    3.00    0.00    0.22    0.00    0.00    0.00    0.00    0.00   96.78
18:05:46       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:05:46      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      26   95.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:46      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:46      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:05:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:05:47     all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
18:05:47       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:05:47       1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:05:47       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      26  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:05:47      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:05:47      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
