Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-19.local) 	04/20/20 	_x86_64_	(32 CPU)

18:06:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:06:59     all    2.75    0.00    0.47    0.00    0.00    0.00    0.00    0.00   96.78
18:06:59       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
18:06:59       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:06:59       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      10   87.13    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00
18:06:59      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:06:59      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:06:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:00     all    2.97    0.00    0.22    0.59    0.00    0.00    0.00    0.00   96.21
18:07:00       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      10   95.96    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00
18:07:00      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      12    0.00    0.00    0.00   19.00    0.00    0.00    0.00    0.00   81.00
18:07:00      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      16    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:07:00      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:00      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:01     all    3.13    0.00    0.03    0.00    0.00    0.00    0.00    0.00   96.84
18:07:01       0    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   98.97
18:07:01       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:01      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:07:01      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:01      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:02     all    3.16    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.78
18:07:02       0    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
18:07:02       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:02      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      16    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
18:07:02      17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
18:07:02      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:02      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:03     all    3.13    0.00    0.06    0.00    0.00    0.03    0.00    0.00   96.78
18:07:03       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:07:03       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:03      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      16    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:07:03      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:03      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:04     all    3.16    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.78
18:07:04       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:07:04       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:04      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      16    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
18:07:04      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:04      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:05     all    3.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00   96.81
18:07:05       0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
18:07:05       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:05      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      16    0.00    0.00    1.01    0.00    0.00    1.01    0.00    0.00   97.98
18:07:05      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:05      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

18:07:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
18:07:06     all    3.13    0.00    0.06    0.63    0.00    0.03    0.00    0.00   96.15
18:07:06       0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:07:06       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
18:07:06      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      12    0.00    0.00    0.00   19.00    0.00    0.00    0.00    0.00   81.00
18:07:06      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:07:06      28    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
