procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   5616 64607588 236940 346916    0    0     0     2    0    0 46  2 51  0  0	
 1  0   5616 64411128 236940 346928    0    0     0     0 3132 2583  3  0 97  0  0	
 1  0   5616 64411044 236940 346932    0    0     0     8 3614 3656  3  0 97  0  0	
 1  0   5616 64411168 236940 346936    0    0     0     0 3296 3054  3  0 97  0  0	
 1  0   5616 64411360 236940 346940    0    0     0     0 3578 3588  3  0 97  0  0	
 1  0   5616 64411888 236940 346940    0    0     0     2 3708 3873  3  0 97  0  0	
 1  0   5616 64412012 236940 346944    0    0     0     6 3708 3888  3  0 97  0  0	
 1  0   5616 64412168 236940 346948    0    0     0     0 3318 3108  3  0 97  0  0	
 1  0   5616 64412348 236940 346952    0    0     0     0 3110 2615  3  0 97  0  0	
 1  0   5616 64412472 236940 346952    0    0     0     8 3025 2416  3  0 96  0  0	
 1  0   5616 64412712 236940 346956    0    0     0    10 3013 2405  3  0 97  0  0	
 3  0   5616 64412836 236940 346960    0    0     0     0 3080 2536  3  0 97  0  0	
 1  0   5616 64412836 236940 346964    0    0     0     0 3011 2405  3  0 97  0  0	
 1  0   5616 64413016 236940 346964    0    0     0     8 3051 2487  3  0 97  0  0	
 1  0   5616 64413164 236940 346968    0    0     0     0 3138 2639  3  0 97  0  0	
 1  0   5616 64413204 236940 346972    0    0     0     0 3036 2448  3  0 97  0  0	
 3  0   5616 64413204 236940 346976    0    0     0     0 3153 2678  3  0 97  0  0	
 1  0   5616 64413208 236940 346976    0    0     0     8 3094 2564  3  0 96  0  0	
 1  0   5616 64413076 236940 346980    0    0     0     2 3034 2443  3  0 97  0  0	
 1  0   5616 64413208 236940 346984    0    0     0     0 3026 2415  3  0 97  0  0	
 1  0   5616 64413076 236940 346988    0    0     0    12 3142 2645  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   5616 64413076 236940 346988    0    0     0     0 3186 2726  3  0 97  0  0	
 1  0   5616 64413076 236940 346992    0    0     0     0 3020 2429  3  0 97  0  0	
 3  0   5616 64413084 236940 346996    0    0     0    10 2377 2275  3  0 97  0  0	
 3  0   5616 64413084 236940 347000    0    0     0     0 2057 2220  3  0 97  0  0	
 1  0   5616 64413092 236940 347000    0    0     0     0 2059 2229  3  0 97  0  0	
 1  0   5616 64413092 236940 347004    0    0     0    10 2172 2286  3  0 96  0  0	
 3  0   5616 64413092 236940 347008    0    0     0     0 3073 2466  3  0 97  0  0	
 1  0   5616 64413092 236940 347008    0    0     0     0 3055 2459  3  0 97  0  0	
 3  0   5616 64413216 236940 347016    0    0     0     8 3069 2478  3  0 96  0  0	
 1  0   5616 64413208 236940 347020    0    0     0     8 3059 2462  3  0 97  0  0	
 1  0   5616 64413208 236940 347024    0    0     0     0 3050 2446  3  0 97  0  0	
 1  0   5616 64413332 236940 347024    0    0     0     0 3084 2500  3  0 97  0  0	
 1  0   5616 64413324 236940 347028    0    0     0     0 3061 2450  3  0 97  0  0	
 1  0   5616 64413324 236940 347032    0    0     0     8 3087 2485  3  0 96  0  0	
 1  0   5616 64413332 236940 347036    0    0     0     0 3055 2449  3  0 97  0  0	
 1  0   5616 64413332 236940 347036    0    0     0     0 3059 2460  3  0 97  0  0	
 1  0   5616 64413332 236940 347040    0    0     0     0 3055 2459  3  0 97  0  0	
 1  0   5616 64413340 236940 347044    0    0     0     0 3074 2491  3  0 97  0  0	
 1  0   5616 64413340 236940 347048    0    0     0     8 3065 2460  3  0 96  0  0	
 3  0   5616 64413332 236940 347048    0    0     0     0 3060 2461  3  0 97  0  0	
 1  0   5616 64413332 236940 347052    0    0     0     0 3054 2449  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   5616 64413332 236940 347056    0    0     0     0 3073 2471  3  0 97  0  0	
 1  0   5616 64413332 236940 347060    0    0     0     0 3052 2455  3  0 97  0  0	
