procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1   5616 64609116 236940 347064    0    0     0     2    0    0 46  2 51  0  0	
 1  0   5616 63817412 236940 347080    0    0     0     0 3227 2705  3  0 97  0  0	
 2  0   5616 63817552 236940 347080    0    0     0     0 3039 2429  3  0 97  0  0	
 1  1   5616 63817924 236940 347084    0    0     0    10 3117 2572  3  0 96  0  0	
 1  0   5616 63818004 236940 347088    0    0     0     0 3202 2712  3  0 97  0  0	
 2  0   5616 63818004 236940 347092    0    0     0     0 3201 2728  3  0 97  0  0	
 2  0   5616 63818224 236940 347096    0    0     0     0 3128 2571  3  0 97  0  0	
 1  0   5616 63818248 236940 347100    0    0     0     2 3057 2474  3  0 97  0  0	
 2  0   5616 63818248 236940 347100    0    0     0     0 3042 2424  3  0 97  0  0	
 1  0   5616 63818372 236940 347100    0    0     0     0 3086 2516  3  0 97  0  0	
 2  0   5616 63818504 236940 347104    0    0     0     0 3052 2429  3  0 97  0  0	
 1  0   5616 63818504 236940 347108    0    0     0     0 3108 2553  3  0 97  0  0	
 2  0   5616 63818512 236940 347112    0    0     0     0 3054 2459  3  0 97  0  0	
 1  0   5616 63818636 236940 347116    0    0     0     8 3036 2425  3  0 97  0  0	
 2  0   5616 63818636 236940 347116    0    0     0     2 3144 2618  3  0 97  0  0	
 1  0   5616 63818656 236940 347120    0    0     0     0 3048 2452  3  0 97  0  0	
 1  0   5616 63818772 236940 347124    0    0     0     0 3118 2564  3  0 97  0  0	
 1  0   5616 63818764 236940 347124    0    0     0    10 3051 2494  3  0 97  0  0	
 1  0   5616 63818756 236940 347128    0    0     0     0 3038 2457  3  0 97  0  0	
 1  0   5616 63818764 236940 347136    0    0     0     0 3159 2689  3  0 97  0  0	
 1  0   5616 63818772 236940 347136    0    0     0     0 3083 2548  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1   5616 63818772 236940 347140    0    0     0     8 3072 2483  3  0 96  0  0	
 1  0   5616 63818780 236940 347140    0    0     0     0 3013 2407  3  0 97  0  0	
 1  0   5616 63818780 236940 347144    0    0     0     0 3014 2407  3  0 97  0  0	
 1  0   5616 63818904 236940 347148    0    0     0     0 3029 2439  3  0 97  0  0	
 1  0   5616 63818904 236940 347148    0    0     0     0 3009 2400  3  0 97  0  0	
 1  1   5616 63818904 236940 347156    0    0     0     8 3024 2413  3  0 97  0  0	
 1  0   5616 63818896 236940 347156    0    0     0     0 3029 2412  3  0 97  0  0	
 1  0   5616 63818896 236940 347160    0    0     0     0 3005 2394  3  0 97  0  0	
 1  0   5616 63818896 236940 347164    0    0     0    14 3023 2416  3  0 96  0  0	
 1  0   5616 63818892 236940 347168    0    0     0     0 3042 2447  3  0 97  0  0	
 2  0   5616 63818884 236940 347172    0    0     0     0 3027 2413  3  0 97  0  0	
 1  0   5616 63818644 236940 347172    0    0     0     6 3009 2405  3  0 96  0  0	
 2  0   5616 63818644 236940 347180    0    0     0     0 3027 2413  3  0 97  0  0	
 1  0   5616 63818636 236940 347180    0    0     0     0 3019 2411  3  0 97  0  0	
 2  0   5616 63818652 236940 347184    0    0     0     0 3019 2404  3  0 97  0  0	
 1  0   5616 63818776 236940 347184    0    0     0     0 3041 2443  3  0 97  0  0	
 2  0   5616 63818768 236940 347188    0    0     0     8 3011 2409  3  0 96  0  0	
 1  0   5616 63818644 236940 347192    0    0     0     0 3026 2411  3  0 97  0  0	
 1  0   5616 63818644 236940 347196    0    0     0     0 3016 2406  3  0 97  0  0	
 1  0   5616 63818644 236940 347200    0    0     0     0 3018 2402  3  0 97  0  0	
 1  0   5616 63818652 236940 347200    0    0     0     0 3019 2407  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   5616 63818660 236940 347204    0    0     0     0 3027 2441  3  0 97  0  0	
 1  0   5616 63818660 236940 347212    0    0     0     6 3022 2408  3  0 96  0  0	
 1  0   5616 63818660 236940 347212    0    0     0     0 3014 2409  3  0 97  0  0	
 1  0   5616 63818660 236940 347216    0    0     0     0 3007 2398  3  0 97  0  0	
 1  0   5616 63818652 236940 347220    0    0     0     8 3094 2557  3  0 96  0  0	
 1  0   5616 63818644 236940 347224    0    0     0     6 3037 2462  3  0 97  0  0	
 1  0   5616 63818644 236940 347228    0    0     0     0 3173 2710  3  0 97  0  0	
 1  0   5616 63818644 236940 347228    0    0     0     0 3032 2422  3  0 97  0  0	
 1  0   5616 63818644 236940 347232    0    0     0     0 3079 2540  3  0 97  0  0	
 1  0   5616 63818644 236940 347232    0    0     0     0 3252 2847  3  0 97  0  0	
 1  0   5616 63818784 236940 347236    0    0     0     2 3009 2404  3  0 97  0  0	
 1  0   5616 63818788 236940 347244    0    0     0     0 3011 2407  3  0 97  0  0	
 2  0   5616 63818788 236940 347244    0    0     0     6 3145 2667  3  0 96  0  0	
 1  0   5616 63818664 236940 347248    0    0     0     0 3124 2626  3  0 97  0  0	
 2  0   5616 63818664 236940 347248    0    0     0     0 3154 2667  3  0 97  0  0	
 1  0   5616 63818656 236940 347256    0    0     0     0 3081 2552  3  0 97  0  0	
 2  0   5616 63818656 236940 347260    0    0     0     0 3008 2400  3  0 97  0  0	
