procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  12844 63786028 232820 648040    0    0     0     2    0    0 39  2 59  0  0	
 2  0  12844 63329980 232820 648492    0    0     0     0 3250 2470  3  0 97  0  0	
 4  0  12844 62868056 232820 648428    0    0     0     0 3032 2450  3  0 97  0  0	
 1  0  12844 62406404 232820 648428    0    0     0    12 3035 2407  3  0 97  0  0	
 1  0  12844 61944988 232820 648428    0    0     0     0 3030 2459  3  0 97  0  0	
 3  0  12844 61483196 232820 648428    0    0     0     0 3019 2402  3  0 97  0  0	
 1  0  12844 61021900 232820 648428    0    0     0    72 3044 2488  3  0 96  1  0	
 1  0  12844 60562768 232820 648428    0    0     0     0 3024 2397  3  0 97  0  0	
 2  0  12844 60099632 232820 648428    0    0     0     0 3034 2453  3  0 97  0  0	
 3  0  12844 59639888 232820 648428    0    0     0     0 3036 2408  3  0 97  0  0	
 1  0  12844 59176420 232820 648428    0    0     0     0 3022 2451  3  0 97  0  0	
 1  0  12844 58717320 232820 648428    0    0     0     0 3109 2533  3  0 97  0  0	
 2  0  12844 58145068 232820 648428    0    0     0     0 3162 2735  3  1 97  0  0	
 1  0  12844 57749060 232820 648428    0    0     0     4 3304 3018  3  0 97  0  0	
 1  0  12844 57322392 232820 648428    0    0     0     0 3259 2989  3  0 97  0  0	
 1  0  12844 56889396 232820 648428    0    0     0     0 3218 2856  3  0 97  0  0	
 1  0  12844 56462792 232820 648428    0    0     0     0 2946 2398  3  0 97  0  0	
 2  0  12844 56042332 232820 648428    0    0     0     0 3200 2845  3  0 97  0  0	
 1  0  12844 55619824 232820 648432    0    0     0    20 3200 2899  3  0 96  1  0	
 3  0  12844 55201164 232820 648436    0    0     0     0 3361 3135  3  0 97  0  0	
 1  0  12844 54772512 232820 648436    0    0     0     0 3539 3583  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12844 54351928 232820 648436    0    0     0     0 3055 2523  3  0 97  0  0	
 1  0  12844 53933392 232820 648436    0    0     0     0 3281 3067  3  0 97  0  0	
 2  0  12844 53502628 232820 648436    0    0     0     4 3766 3956  3  0 97  0  0	
 1  0  12844 53080120 232820 648436    0    0     0     0 3735 3928  3  0 97  0  0	
 1  0  12844 52663508 232820 648436    0    0     0     0 3593 3630  3  0 97  0  0	
 2  0  12844 52255336 232820 648436    0    0     0     0 3583 3646  3  0 97  0  0	
 1  0  12844 51926912 232820 648436    0    0     0     0 3420 3269  3  0 97  0  0	
 1  0  12844 51926988 232820 648436    0    0     0    68 3409 3273  3  0 97  0  0	
 1  0  12844 51927032 232820 648436    0    0     0     0 3695 3833  3  0 97  0  0	
 1  0  12844 51927040 232820 648436    0    0     0     0 3699 3905  3  0 97  0  0	
 1  0  12844 51927040 232820 648436    0    0     0     0 3429 3252  3  0 97  0  0	
 1  0  12844 51927056 232820 648436    0    0     0     0 3211 2881  3  0 97  0  0	
 1  0  12844 51927056 232820 648436    0    0     0     0 3244 2835  3  0 97  0  0	
 1  0  12844 51927056 232820 648436    0    0     0     0 3006 2479  3  0 97  0  0	
 1  0  12844 51927048 232820 648436    0    0     0     0 2987 2441  3  0 97  0  0	
 2  0  12844 51927052 232820 648440    0    0     0     0 2979 2467  3  0 97  0  0	
 1  0  12844 51927052 232820 648440    0    0     0    16 3389 3235  3  0 96  1  0	
 1  0  12844 51927052 232820 648440    0    0     0    16 3317 3064  3  0 97  0  0	
 1  0  12844 51927052 232820 648444    0    0     0     0 3119 2630  3  0 97  0  0	
 2  0  12844 51927052 232820 648444    0    0     0     0 3071 2658  3  0 97  0  0	
