procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  12848 63642664 231632 792988    0    0     0     2    0    0 39  2 59  0  0	
 1  0  12848 63446248 231632 793000    0    0     0     0 3505 3163  3  0 97  0  0	
 1  0  12848 63446256 231632 793012    0    0     0     0 3655 3752  3  0 97  0  0	
 2  0  12848 63446380 231632 793020    0    0     0     0 3830 4125  3  0 97  0  0	
 2  0  12848 63446452 231632 793024    0    0     0     0 3827 4072  3  0 97  0  0	
 2  0  12848 63446444 231632 793024    0    0     0    24 3709 3881  3  0 96  1  0	
 3  0  12848 63446560 231632 793032    0    0     0     0 3475 3403  3  0 97  0  0	
 3  0  12848 63446592 231632 793032    0    0     0     0 3480 3441  3  0 97  0  0	
 1  0  12848 63446968 231632 793036    0    0     0     0 3479 3423  3  0 97  0  0	
 1  0  12848 63446968 231632 793036    0    0     0     0 3458 3383  3  0 97  0  0	
 1  0  12848 63447224 231632 793040    0    0     0    16 3452 3386  3  0 96  1  0	
 1  0  12848 63447348 231632 793040    0    0     0     0 3505 3478  3  0 97  0  0	
 1  0  12848 63447476 231632 793048    0    0     0     0 3475 3422  3  0 97  0  0	
 1  0  12848 63447508 231632 793048    0    0     0     0 3473 3399  3  0 97  0  0	
 1  0  12848 63447612 231632 793056    0    0     0     0 3620 3658  3  0 97  0  0	
 1  0  12848 63447620 231632 793056    0    0     0     0 3638 3726  3  0 97  0  0	
 1  0  12848 63447620 231632 793060    0    0     0     0 3529 3473  3  0 97  0  0	
 1  0  12848 63447620 231632 793060    0    0     0    12 3571 3546  3  0 96  1  0	
 1  0  12848 63447744 231632 793068    0    0     0     0 3493 3448  3  0 97  0  0	
 1  0  12848 63447736 231632 793072    0    0     0     0 3410 3298  3  0 97  0  0	
 2  0  12848 63447868 231632 793080    0    0     0    56 3511 3397  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 63447868 231632 793080    0    0     0     0 3521 3471  3  0 97  0  0	
 1  0  12848 63447868 231632 793084    0    0     0     0 3554 3569  3  0 97  0  0	
 1  0  12848 63447868 231632 793084    0    0     0     0 3336 3105  3  0 97  0  0	
 2  0  12848 63447956 231632 793092    0    0     0     0 3747 3910  3  0 97  0  0	
 1  0  12848 63447956 231632 793092    0    0     0    12 3743 3903  3  0 96  1  0	
 1  0  12848 63448016 231632 793100    0    0     0     0 3747 3919  3  0 97  0  0	
 1  0  12848 63448016 231632 793100    0    0     0     0 3827 4087  3  0 97  0  0	
 1  0  12848 63448016 231632 793100    0    0     0     0 3688 3872  3  0 97  0  0	
 1  0  12848 63448024 231632 793100    0    0     0     0 3256 2928  3  0 97  0  0	
 1  0  12848 63448024 231632 793108    0    0     0     0 3057 2581  3  0 97  0  0	
 1  0  12848 63448024 231632 793108    0    0     0     0 3392 3282  3  0 97  0  0	
 1  0  12848 63447900 231632 793116    0    0     0    12 3517 3476  3  0 96  1  0	
 1  0  12848 63447892 231632 793116    0    0     0     0 3460 3351  3  0 97  0  0	
 1  0  12848 63447892 231632 793124    0    0     0     0 3455 3345  3  0 97  0  0	
 1  0  12848 63447884 231632 793128    0    0     0     4 3482 3411  3  0 97  0  0	
 1  0  12848 63447884 231632 793128    0    0     0     0 3458 3374  3  0 97  0  0	
 1  0  12848 63447884 231632 793128    0    0     0     0 3469 3418  3  0 97  0  0	
 1  0  12848 63447884 231632 793136    0    0     0     0 3474 3357  3  0 97  0  0	
 1  0  12848 63447884 231632 793140    0    0     0    24 3479 3402  3  0 96  1  0	
 1  0  12848 63447884 231632 793144    0    0     0     0 3455 3370  3  0 97  0  0	
 1  0  12848 63447884 231632 793144    0    0     0     0 3476 3397  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 63447884 231632 793156    0    0     0     0 3494 3439  3  0 97  0  0	
 1  0  12848 63448024 231632 793156    0    0     0     0 3490 3461  3  0 97  0  0	
 1  0  12848 63448024 231632 793160    0    0     0     0 3555 3536  3  0 97  0  0	
 1  0  12848 63448024 231632 793164    0    0     0     0 3545 3545  3  0 97  0  0	
 1  0  12848 63448024 231632 793168    0    0     0    16 3669 3771  3  0 96  1  0	
 1  0  12848 63448024 231632 793168    0    0     0     0 3362 3103  3  0 97  0  0	
 2  0  12848 63448024 231632 793172    0    0     0     0 3794 4048  3  0 97  0  0	
 1  0  12848 63448024 231632 793172    0    0     0     0 3757 3958  3  0 97  0  0	
 1  0  12848 63448024 231632 793180    0    0     0     0 3763 4000  3  0 97  0  0	
 1  0  12848 63448032 231632 793180    0    0     0     0 3584 3547  3  0 97  0  0	
 1  0  12848 63448032 231632 793188    0    0     0     0 3020 2396  3  0 97  0  0	
 2  0  12848 63448032 231632 793188    0    0     0     0 3388 3213  3  0 97  0  0	
 1  0  12848 63448024 231632 793196    0    0     0    20 3563 3561  3  0 96  1  0	
 2  0  12848 63448024 231632 793196    0    0     0    12 3501 3462  3  0 97  0  0	
 1  0  12848 63448024 231632 793200    0    0     0     0 3735 3882  3  0 97  0  0	
 1  0  12848 63448024 231632 793200    0    0     0     0 3459 3355  3  0 97  0  0	
 1  0  12848 63448024 231632 793208    0    0     0     0 3480 3403  3  0 97  0  0	
 1  0  12848 63448024 231632 793212    0    0     0     0 3475 3407  3  0 97  0  0	
 2  0  12848 63448024 231632 793220    0    0     0     0 3484 3412  3  0 97  0  0	
 1  0  12848 63448032 231632 793220    0    0     0    16 3495 3438  3  0 96  1  0	
 2  0  12848 63448032 231632 793224    0    0     0     0 3187 2845  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
