procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  12848 63643412 231632 793256    0    0     0     2    0    0 39  2 59  0  0	
 1  0  12848 63026748 231632 793268    0    0     0     0 3246 2678  3  1 97  0  0	
 1  0  12848 62852056 231632 793276    0    0     0    20 3391 3258  3  0 96  1  0	
 1  0  12848 62852056 231632 793276    0    0     0     0 3258 2942  3  0 97  0  0	
 2  0  12848 62852056 231632 793284    0    0     0     0 3033 2417  3  0 97  0  0	
 2  0  12848 62852072 231632 793284    0    0     0     0 3099 2551  3  0 97  0  0	
 2  0  12848 62852072 231632 793288    0    0     0     0 3036 2459  3  0 97  0  0	
 2  0  12848 62852256 231632 793288    0    0     0     0 3070 2437  3  0 97  0  0	
 3  0  12848 62852380 231632 793292    0    0     0    16 3056 2466  3  0 96  1  0	
 1  0  12848 62852504 231632 793296    0    0     0     0 3046 2458  3  0 97  0  0	
 1  0  12848 62852644 231632 793296    0    0     0     0 3034 2405  3  0 97  0  0	
 1  0  12848 62852660 231632 793304    0    0     0     0 3017 2383  3  0 97  0  0	
 1  0  12848 62852652 231632 793304    0    0     0     0 3016 2391  3  0 97  0  0	
 1  0  12848 62852788 231632 793312    0    0     0     0 3008 2379  3  0 97  0  0	
 4  0  12848 62852788 231632 793312    0    0     0     0 3040 2420  3  0 97  0  0	
 1  0  12848 62852840 231632 793320    0    0     0     0 3017 2383  3  0 97  0  0	
 1  0  12848 62852840 231632 793320    0    0     0     0 3236 2800  3  0 97  0  0	
 2  0  12848 62852840 231632 793324    0    0     0     0 3071 2499  3  0 97  0  0	
 1  0  12848 62852848 231632 793324    0    0     0     0 3126 2613  3  0 97  0  0	
 2  0  12848 62852848 231632 793336    0    0     0     0 3040 2430  3  0 97  0  0	
 2  0  12848 62852848 231632 793336    0    0     0     0 3427 3333  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 62852964 231632 793340    0    0     0     0 3090 2597  3  0 97  0  0	
 1  0  12848 62852964 231632 793340    0    0     0    20 2974 2397  3  0 96  1  0	
 2  0  12848 62852964 231632 793352    0    0     0     0 2959 2388  3  0 97  0  0	
 2  0  12848 62852964 231632 793352    0    0     0     0 3075 2517  3  0 97  0  0	
 2  0  12848 62852964 231632 793356    0    0     0     0 3088 2507  3  0 97  0  0	
 2  0  12848 62852980 231632 793356    0    0     0     0 3090 2510  3  0 97  0  0	
 1  0  12848 62852980 231632 793360    0    0     0     0 3711 3878  3  0 97  0  0	
 1  0  12848 62852980 231632 793360    0    0     0     0 3762 3968  3  0 97  0  0	
 2  0  12848 62852980 231632 793368    0    0     0     0 3174 2727  3  0 97  0  0	
 1  0  12848 62852988 231632 793368    0    0     0     0 3015 2421  3  0 97  0  0	
 1  0  12848 62852980 231632 793372    0    0     0     0 3026 2395  3  0 97  0  0	
 1  0  12848 62852980 231632 793372    0    0     0     0 3034 2449  3  0 97  0  0	
 1  0  12848 62852980 231632 793376    0    0     0     0 3028 2407  3  0 97  0  0	
 2  0  12848 62852980 231632 793376    0    0     0     0 3052 2455  3  0 97  0  0	
 1  0  12848 62852972 231632 793384    0    0     0     0 3054 2419  3  0 97  0  0	
 1  0  12848 62852980 231632 793384    0    0     0     0 3044 2458  3  0 97  0  0	
 2  0  12848 62852980 231632 793396    0    0     0    16 2994 2432  3  0 96  1  0	
 1  0  12848 62852980 231632 793396    0    0     0     0 3551 3507  3  0 97  0  0	
 1  0  12848 62852980 231632 793404    0    0     0     0 3305 2983  3  0 97  0  0	
 2  0  12848 62852980 231632 793404    0    0     0     0 3042 2467  3  0 97  0  0	
 1  0  12848 62852980 231632 793412    0    0     0     0 3339 3093  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12848 62852972 231632 793412    0    0     0     0 3067 2471  3  0 97  0  0	
 2  0  12848 62852980 231632 793420    0    0     0    12 3071 2501  3  0 96  1  0	
 1  0  12848 62852980 231632 793420    0    0     0     0 3110 2588  3  0 97  0  0	
 2  0  12848 62852980 231632 793424    0    0     0     0 2965 2369  3  0 97  0  0	
 1  0  12848 62852980 231632 793424    0    0     0     0 3075 2523  3  0 97  0  0	
 1  0  12848 62852980 231632 793432    0    0     0     0 3057 2490  3  0 97  0  0	
 2  0  12848 62852980 231632 793432    0    0     0     0 3042 2443  3  0 97  0  0	
 1  0  12848 62852980 231632 793440    0    0     0     0 3018 2518  3  0 97  0  0	
 1  0  12848 62852988 231632 793440    0    0     0     0 3091 2580  3  0 97  0  0	
 2  0  12848 62852980 231632 793444    0    0     0     0 3211 2773  3  0 97  0  0	
 1  0  12848 62852856 231632 793444    0    0     0    16 3158 2695  3  0 96  1  0	
 2  0  12848 62852856 231632 793448    0    0     0     0 3143 2615  3  0 97  0  0	
 1  0  12848 62852732 231632 793448    0    0     0     0 3038 2422  3  0 97  0  0	
 1  0  12848 62852732 231632 793456    0    0     0     0 3013 2388  3  0 97  0  0	
 2  0  12848 62852732 231632 793456    0    0     0     0 3013 2394  3  0 97  0  0	
 1  0  12848 62852732 231632 793472    0    0     0     0 2998 2369  3  0 97  0  0	
 2  0  12848 62852864 231632 793472    0    0     0     0 3026 2414  3  0 97  0  0	
 2  0  12848 62852864 231632 793476    0    0     0     0 3008 2398  3  0 97  0  0	
 1  0  12848 62852864 231632 793476    0    0     0     0 3047 2469  3  0 97  0  0	
 2  0  12848 62852856 231632 793484    0    0     0     0 3359 3100  3  0 97  0  0	
 1  0  12848 62852980 231632 793484    0    0     0     4 3177 2734  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12848 62852980 231632 793484    0    0     0     0 3041 2418  3  0 97  0  0	
 2  0  12848 62852980 231632 793484    0    0     0     0 3034 2423  3  0 97  0  0	
 1  0  12848 62852972 231632 793492    0    0     0     0 3080 2509  3  0 97  0  0	
 1  0  12848 62852964 231632 793492    0    0     0    12 3038 2456  3  0 96  1  0	
 2  0  12848 62852972 231632 793500    0    0     0     8 3029 2386  3  0 97  0  0	
